record_id,phash,review_resolution,refined_similarity_status,refined_group_id,refined_group_representative,resolved_cleaning_status,resolved_exclusion_reason
rec_013332c193cb46322b99,cfcd694c32493a99,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_49a2771c3b840030a8e9,rec_00c1ff248260bc9f0556,INCLUDE,
rec_01358397b2335b8bb3dc,df482097be48c93b,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_013e5f164061b396c35f,cb6ecd383c983932,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_e8c2ee034d8c627abe4a,rec_013e5f164061b396c35f,INCLUDE,
rec_01409e7cf03da8062092,a6cd1acd8335e8b1,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_864b5ee8f4a431ba569f,rec_01409e7cf03da8062092,INCLUDE,
rec_0142d74c5e70940c6a4f,ef89011f576a6a85,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_f42e6777ca05adae9898,rec_0142d74c5e70940c6a4f,INCLUDE,
rec_014510746bdbce35017a,f4ed962458c6d992,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_d3be3c19a3af6f9725ee,rec_014510746bdbce35017a,INCLUDE,
rec_0147695f9cd3edfc3490,b1b8cc8ec623cea3,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_a2ae612ba9eb8bc6e45e,rec_0147695f9cd3edfc3490,INCLUDE,
rec_014f307617e26a5a76b0,9b39c9662466799a,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_0159189f334eae8907e6,bc4a37c912e0c93f,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_9b1ac77ba90dd575e76d,rec_0159189f334eae8907e6,INCLUDE,
rec_01696c301e6eb86f6082,c686969ace99c639,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_016fdf6e1f76a7199084,d998e4e5820e15df,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_13b91fedd9c68c880cfa,rec_016fdf6e1f76a7199084,INCLUDE,
rec_01705a2c44e61a00f69d,9e38c66399c69936,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_0187cce78c2f9b872cc8,ce4d6c63926c92cd,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_c64761fda949c04c4f1f,rec_0187cce78c2f9b872cc8,INCLUDE,
rec_019a9c3e6bf70ad88846,ce3399e6916c186e,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_b9f8ed8a8860a6caebba,rec_019a9c3e6bf70ad88846,INCLUDE,
rec_01aaab18a170baebb6fe,c79c8ec9986c6666,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_01b09cd229613ad989d9,939accc6c6336791,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_01b67b2affdaea308daa,a35f1c2074c77b4a,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_64301fb36d561f6333db,rec_01b67b2affdaea308daa,INCLUDE,
rec_01bad49418d1d86f6996,f3904f985660bdd4,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_f75f3a693a99bf2b97eb,rec_01bad49418d1d86f6996,INCLUDE,
rec_01bfb10069ca01aa96c6,dfb6f078696828e0,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_0ede4c8a28a746193324,rec_01bfb10069ca01aa96c6,INCLUDE,
rec_01c00c8913f410de3e25,91b86c47b138ced3,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_01cdc856539408d25b4c,904314976e6baf95,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_39e622f86e6a56ecbf65,rec_01cdc856539408d25b4c,INCLUDE,
rec_01de5368cec56d79e0b6,cf6532c7638c833c,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_01fb21bbeb16e0201b87,cb33646d30967336,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_020800fdd0921db40cb7,e7fc0f068c8d3cd0,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_7f4b3b8568c35b5efbb0,rec_020800fdd0921db40cb7,INCLUDE,
rec_0218df5cc2832a83d22b,c5d83a27d2d4cdc8,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_a4430babaf1670c60ce9,rec_0218df5cc2832a83d22b,INCLUDE,
rec_02190778dfddfe17c45c,bd3b98434d2d4f18,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_021a9b602c395bab5c18,ce6667cd9acc2330,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_023846dbfeb7b48e92c1,df7a280f08cbe887,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_39f9c5dbe8beae36f48a,rec_023846dbfeb7b48e92c1,INCLUDE,
rec_0238b4a224743fe4f1aa,b1d9cbccc604c6c7,VERIFIED_LABEL_CONFLICT,VERIFIED_LABEL_CONFLICT,refined_80b8d09fddf4e8e21965,rec_0238b4a224743fe4f1aa,EXCLUDE,VERIFIED_PERCEPTUAL_LABEL_CONFLICT
rec_023fad71fc6179f26dbf,a24256bdc94bbee0,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_d0565bf31787bdb25a28,rec_023fad71fc6179f26dbf,INCLUDE,
rec_0265356c48968bfd0195,857e6a81947ee1e2,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_0becb68144425777f86e,rec_0265356c48968bfd0195,INCLUDE,
rec_0265af1c27a97385360f,b93846c7f338ec24,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_f45d1419a3bd47f6268f,rec_0265af1c27a97385360f,INCLUDE,
rec_026e43ec1553d69aa6e4,d8417067e7871e8b,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_f923fb69085974fd3fca,rec_026e43ec1553d69aa6e4,INCLUDE,
rec_0270f70499568bbc1710,9b65303139c76667,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_d5a751f48b5f71f6d505,rec_0270f70499568bbc1710,INCLUDE,
rec_02715cdbf11e510cc23b,95cc701ba5e1b18f,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_0271abba06bd4c7b5943,cc673c0350b9a7f1,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_ce47925aea05db1d00da,rec_0271abba06bd4c7b5943,INCLUDE,
rec_0285da27ba488ee1c715,f85006af97ccc879,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_6680a1c73b357a80753a,rec_0285da27ba488ee1c715,INCLUDE,
rec_028ccdf5940512ff11fb,94c66a2807133bff,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_cdc028c39cb9aa35fc07,rec_028ccdf5940512ff11fb,INCLUDE,
rec_02a11b4bb67ee4ceede5,978b685080a3df9f,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_311cff36d64339268c8b,rec_02a11b4bb67ee4ceede5,INCLUDE,
rec_02a1d28bacd97fe7fbba,9a329b39cd336c89,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_02a53e81b53d8936fabe,d2227215ad7fb542,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_edfc5a5965ff02808f8b,rec_02a53e81b53d8936fabe,INCLUDE,
rec_02b653cacc0b175fdefd,cfc7363898c63338,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_02c45b54b57cac41e4f0,ce999966662699c9,STILL_UNCERTAIN,VERIFIED_NEAR_DUPLICATE,refined_e41932528b40b010565e,rec_02c45b54b57cac41e4f0,REVIEW,PERCEPTUAL_LABEL_CONFLICT
rec_02c5827aec8c9bb0c04e,becc9f8e905099e4,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_91ffe104863c486f1dcb,rec_02c5827aec8c9bb0c04e,INCLUDE,
rec_02c7cf65c6b41116989b,aecc607a9e087973,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_39fdad3131e137f7bfb9,rec_02c7cf65c6b41116989b,INCLUDE,
rec_02ca067c32bc64b72397,ce309bcc67938965,VERIFIED_LABEL_CONFLICT,VERIFIED_LABEL_CONFLICT,refined_e01576d708723c553799,rec_02ca067c32bc64b72397,EXCLUDE,VERIFIED_PERCEPTUAL_LABEL_CONFLICT
rec_02d1e47a2abf91f5c11f,cf38c6699b3864c9,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_02e48b60914531fe5e86,d5bb7e171a130117,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_e46536b483d38c404f5e,rec_02e48b60914531fe5e86,INCLUDE,
rec_02e894b83780ada59b0e,c2ef1eb4f3e081c1,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_90cd95213751b6a3390c,rec_02e894b83780ada59b0e,INCLUDE,
rec_02ef0a34b78ac0d1aa34,95cc4e3436bc4ad3,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_4cf62c3df6267e340c9b,rec_02ef0a34b78ac0d1aa34,INCLUDE,
rec_02ef4d84f3297264069e,cd9b3aa8330717ca,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_1c4df0ef9b967c5e04e3,rec_02ef4d84f3297264069e,INCLUDE,
rec_02f217cd12fa32541109,971162d8c7e91a79,VERIFIED_LABEL_CONFLICT,VERIFIED_LABEL_CONFLICT,refined_7c4e6e7b313d4c7b93ee,rec_02f217cd12fa32541109,EXCLUDE,VERIFIED_PERCEPTUAL_LABEL_CONFLICT
rec_0315ba457a209e91d5f6,9399ccc6ce266633,VERIFIED_LABEL_CONFLICT,VERIFIED_LABEL_CONFLICT,refined_c2748ced8cf110bde084,rec_0315ba457a209e91d5f6,EXCLUDE,VERIFIED_PERCEPTUAL_LABEL_CONFLICT
rec_031aaedd879d5c4d59cd,ef00aa35962b4bab,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_d4cc5324afb39d324675,rec_031aaedd879d5c4d59cd,INCLUDE,
rec_031db7ba235f34024762,aebde0622f4e145c,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_297335c34b9a1450cb81,rec_031db7ba235f34024762,INCLUDE,
rec_03200133778692dff8fb,9e9292c99b66c36c,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_0323db96b771be993edb,9b333298cf987664,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_03275a99f39ee9c2b7a0,d2402dbf8292f96d,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_9df265ea31d9d2f2e0cf,rec_03275a99f39ee9c2b7a0,INCLUDE,
rec_032b1ad30f1585bdd1c7,c2982dc8f529fab8,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_5fc3a794a9a56a4632b5,rec_032b1ad30f1585bdd1c7,INCLUDE,
rec_032b679e12b9a30086de,a26f51b45cb3cc38,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_b70c9eb7043138f8641e,rec_032b679e12b9a30086de,INCLUDE,
rec_033aba862327089c9acb,deed701869013ed9,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_1165db56ec0c0d70f22b,rec_033aba862327089c9acb,INCLUDE,
rec_0347c654eae1dbfda44c,f89d8bc588d098de,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_663866cce6c57182e507,rec_0347c654eae1dbfda44c,INCLUDE,
rec_034bba85737ee4488f22,9bcf989431316739,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_035b06261e12cd6ee826,f8c0012f8ff8f887,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_907e13899d19fc746f6e,rec_035b06261e12cd6ee826,INCLUDE,
rec_035f84bac92eb17c0330,ce6d92999ec6c906,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_9c06cea66597d3b04ce5,rec_035f84bac92eb17c0330,INCLUDE,
rec_0362a8faef9f8537df0d,9ae63433796c616c,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_acd797d535fba6b4b623,rec_0362a8faef9f8537df0d,INCLUDE,
rec_0367af6e397ad5690079,c34f9b64924cc73c,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_1845c479b1940a8c8137,rec_0367af6e397ad5690079,INCLUDE,
rec_036c1fcddf2b14056cf3,9b8c9b646c3392cd,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_036efdfe2b34dfc556a1,cecc339234c96d63,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_0375e8545267cd255173,c369ce66cc9319cc,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_0381c183ea8814f92040,cf64c72c9364936c,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_a213b10893d061a75b5e,rec_0381c183ea8814f92040,INCLUDE,
rec_0381c6f053e3bf7368f8,8f206d955f5554aa,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_ae6a0f04de945e3b6544,rec_0381c6f053e3bf7368f8,INCLUDE,
rec_0383be85032c353e8446,a362569dc94bb6e0,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_d0565bf31787bdb25a28,rec_023fad71fc6179f26dbf,INCLUDE,
rec_038602f39c1e584d4f29,e86ecd1618785e4d,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_038a5c4a6fa2d82c22c9,9b99e767c9066708,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_90ae1f4ce7c659036a7c,rec_038a5c4a6fa2d82c22c9,INCLUDE,
rec_038fd37a300fb5c43c1b,d4292fd2e80a97ad,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_0398e802d6e3e8cae30d,a1695e96c0e0be2f,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_ac7e74e1008d7bd2ee5d,rec_0398e802d6e3e8cae30d,INCLUDE,
rec_03abcdb31e1003255a73,939465355b2f906d,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_f55b3236e1df86ed2683,rec_03abcdb31e1003255a73,INCLUDE,
rec_03baf14f6f0a357b97b7,85ae08707ec17f47,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_ef00b20a04a59ceb619f,rec_03baf14f6f0a357b97b7,INCLUDE,
rec_03cc537c6bbf8e77c1f1,fe3e00c07f0fe0f0,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_abbe130838c99c92cd25,rec_03cc537c6bbf8e77c1f1,INCLUDE,
rec_03d075277add7fd95ea8,867817c10ee1fcd3,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_e2bee32340de841a2c32,rec_03d075277add7fd95ea8,INCLUDE,
rec_03d152456afdb48f1476,ca6e6ea025d130fb,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_495b3d97a46f81b57dfe,rec_03d152456afdb48f1476,INCLUDE,
rec_03d295a398405c32e57d,875e7829e6919c4e,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_d23aba1d12d37decd6a0,rec_03d295a398405c32e57d,INCLUDE,
rec_03e5d3566f48a012a57b,cf6569cf9332308c,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_86392bc1ab1c01a7540d,rec_03e5d3566f48a012a57b,INCLUDE,
rec_03ebde70bfa0b998fe72,c7319a63996659cc,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_71cc8acc49ca25c31c27,rec_03ebde70bfa0b998fe72,INCLUDE,
rec_03edcb58d626ff26c31a,c1789435e3974a8f,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_f35e1f63e2c1ba0435a9,rec_03edcb58d626ff26c31a,INCLUDE,
rec_03f5597e51f2150ebd92,c188a69c91e79be3,NOT_REQUIRED,NOT_SIMILAR,,,INCLUDE,
rec_03fcb93d045a6279b857,ca1c32a468a76f8f,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_ee01203778001e2483b8,rec_03fcb93d045a6279b857,INCLUDE,
rec_0404652f46f008e93f96,cf4c61996dc634c6,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_d9daa54848ebd7ff9f4c,rec_0404652f46f008e93f96,INCLUDE,
rec_040a275f4f2732ab182e,966331d55709e5b8,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_ae70f8c29816888fd8fc,rec_040a275f4f2732ab182e,INCLUDE,
rec_041bce43d54d3f314c32,ce6618773364b3c8,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_6e84ebddd0479b20a440,rec_041bce43d54d3f314c32,INCLUDE,
rec_042ad9805f2377bb45ec,92c79acc9b30c38f,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_042f0d835855cb6a4573,ac09544743af5ef4,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_e7f726bcc9638c683fba,rec_042f0d835855cb6a4573,INCLUDE,
rec_042fb14f5ae8e6d9320d,db1b371285ab5496,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_4a7073359b8854aa0c8d,rec_042fb14f5ae8e6d9320d,INCLUDE,
rec_0431dddb0e9ea95154bd,85d2b4db3349e1a5,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_b3df3bfda83a2cc70e28,rec_0431dddb0e9ea95154bd,INCLUDE,
rec_0434b41930211fd1c28d,9b1871cdce392c99,FALSE_POSITIVE_PERCEPTUAL_SCREEN,VERIFIED_NEAR_DUPLICATE,refined_44b7fda0b4ee3c2a4446,rec_0434b41930211fd1c28d,INCLUDE,
rec_04402c7e05dca55b8d4a,9acfc7384d926992,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_0442eeb5cd1d3379879e,dd5d22a0a41adabd,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_7d1abbd8d5a5ce7512af,rec_0442eeb5cd1d3379879e,INCLUDE,
rec_0444acfe7762feee5eac,96ce98ce398a3999,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_044df659520f59df5356,bdb2939bcb594148,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_ba85164d5ac18e73b87f,rec_044df659520f59df5356,INCLUDE,
rec_04536590aafeec6b72c9,c72e38d1c52cba2e,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_9b0a47b7667890441a88,rec_04536590aafeec6b72c9,INCLUDE,
rec_046682b1d8262f020368,9339cc39cc63cc63,FALSE_POSITIVE_PERCEPTUAL_SCREEN,NOT_SIMILAR,,,INCLUDE,
rec_046758b5bb58ffd70225,c08f6b709e8fe11c,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_238a403b71af6bdaf93b,rec_046758b5bb58ffd70225,INCLUDE,
rec_046b3a5f8ba73ca529e7,d31f24e0cf1eb02b,NOT_REQUIRED,VERIFIED_NEAR_DUPLICATE,refined_b13336b75023a0ee32fc,rec_046b3a5f8ba73ca529e7,INCLUDE,
