refined_group_id,representative_record_id,member_count,training_member_count,locked_test_member_count,target_classes,datasets,similarity_method,minimum_dhash_distance,maximum_dhash_distance,minimum_phash_distance,maximum_phash_distance,minimum_orb_match_ratio,maximum_orb_match_ratio,minimum_orb_inlier_ratio,maximum_orb_inlier_ratio,risk_status
refined_b4d9ec8312a20da59889,rec_008c696fff7e400ad02f,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.95625000,0.95625000,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_a23ac0e826d13750385f,rec_0098b521e9ec1edd9ab2,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.77138850,0.77138850,0.99818182,0.99818182,VERIFIED_NEAR_DUPLICATE
refined_abfed0c5db7da910459f,rec_00a5c36ca06e573b0de2,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.92926491,0.92926491,0.99552239,0.99552239,VERIFIED_NEAR_DUPLICATE
refined_f9e725374cef0e95a80d,rec_00b05a92da7759004158,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.73907104,0.73907104,0.97412200,0.97412200,VERIFIED_NEAR_DUPLICATE
refined_a5aa1ceabd9e0c0bc0b1,rec_00bce69966fcef1e6a5e,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.95801527,0.95801527,0.99867198,0.99867198,VERIFIED_NEAR_DUPLICATE
refined_49a2771c3b840030a8e9,rec_00c1ff248260bc9f0556,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.74773414,0.74773414,0.97373737,0.97373737,VERIFIED_NEAR_DUPLICATE
refined_e6c7853a311d3c2a2e07,rec_00c2d5fdea2d9544a320,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.80125000,0.80125000,0.99063963,0.99063963,VERIFIED_NEAR_DUPLICATE
refined_64dd7b12743064735df7,rec_00c513e926daa66cb0e3,2,2,0,Potato Early blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,3,3,2,2,0.38500000,0.38500000,0.76298701,0.76298701,VERIFIED_NEAR_DUPLICATE
refined_54cbbee69a9942cc7f75,rec_00e23fdd9cab71efbe87,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.95225464,0.95225464,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_b8dc7231b7aead014ec8,rec_00e6ff8af37be3930c62,2,2,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,2,2,2,2,0.57875000,0.57875000,0.86393089,0.86393089,VERIFIED_NEAR_DUPLICATE
refined_c5320723087c934d6cee,rec_00e8a571ce9e1dd8c741,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.92887624,0.92887624,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_b0e2268cf23a6de0154c,rec_00fcbd6525482f0abd4a,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.75982533,0.75982533,0.99233716,0.99233716,VERIFIED_NEAR_DUPLICATE
refined_fc8c97871c5312fbd90c,rec_010c04a41b1d2d3fee9c,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.91285714,0.91285714,0.99843505,0.99843505,VERIFIED_NEAR_DUPLICATE
refined_7c43943852b0c09cf4e2,rec_010cf108f0c10c723f65,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.83958603,0.83958603,0.99383667,0.99383667,VERIFIED_NEAR_DUPLICATE
refined_bd8551565545d73e1d5a,rec_0111008cc8fa4edafc9f,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.90703851,0.90703851,0.99853587,0.99853587,VERIFIED_NEAR_DUPLICATE
refined_fd7ba8da6782ae0a5aa5,rec_01144e589b53320abfc8,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.91968912,0.91968912,0.99718310,0.99718310,VERIFIED_NEAR_DUPLICATE
refined_67c5da40473a56c0840c,rec_011a7d50f2cbffd330f5,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.96954315,0.96954315,0.99869110,0.99869110,VERIFIED_NEAR_DUPLICATE
refined_111f35d9a6ab64b7f1da,rec_011e6115227b61a92079,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.99375000,0.99375000,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_4c1d608c7a49ba747492,rec_012a487555e008426d85,3,3,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,4,2,2,0.57746479,0.59308511,0.96860987,0.98536585,VERIFIED_NEAR_DUPLICATE
refined_e8c2ee034d8c627abe4a,rec_013e5f164061b396c35f,4,4,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,1,0,4,0.53125000,0.96125000,0.94588235,0.99869961,VERIFIED_NEAR_DUPLICATE
refined_864b5ee8f4a431ba569f,rec_01409e7cf03da8062092,3,3,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.97000000,0.97500000,0.99742268,0.99871795,VERIFIED_NEAR_DUPLICATE
refined_f42e6777ca05adae9898,rec_0142d74c5e70940c6a4f,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.89230769,0.89230769,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_d3be3c19a3af6f9725ee,rec_014510746bdbce35017a,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.99465955,0.99465955,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_a2ae612ba9eb8bc6e45e,rec_0147695f9cd3edfc3490,3,3,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,2,3,2,4,0.71601208,0.72507553,0.94791667,0.98734177,VERIFIED_NEAR_DUPLICATE
refined_9b1ac77ba90dd575e76d,rec_0159189f334eae8907e6,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,3,3,4,4,0.62250000,0.62250000,0.93574297,0.93574297,VERIFIED_NEAR_DUPLICATE
refined_13b91fedd9c68c880cfa,rec_016fdf6e1f76a7199084,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.91578947,0.91578947,0.99568966,0.99568966,VERIFIED_NEAR_DUPLICATE
refined_c64761fda949c04c4f1f,rec_0187cce78c2f9b872cc8,2,2,0,Potato Early blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.62531328,0.62531328,0.89979960,0.89979960,VERIFIED_NEAR_DUPLICATE
refined_b9f8ed8a8860a6caebba,rec_019a9c3e6bf70ad88846,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.79526462,0.79526462,0.98598949,0.98598949,VERIFIED_NEAR_DUPLICATE
refined_64301fb36d561f6333db,rec_01b67b2affdaea308daa,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.97500000,0.97500000,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_f75f3a693a99bf2b97eb,rec_01bad49418d1d86f6996,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.96750000,0.96750000,0.99870801,0.99870801,VERIFIED_NEAR_DUPLICATE
refined_0ede4c8a28a746193324,rec_01bfb10069ca01aa96c6,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.96250000,0.96250000,0.99740260,0.99740260,VERIFIED_NEAR_DUPLICATE
refined_39e622f86e6a56ecbf65,rec_01cdc856539408d25b4c,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.92866579,0.92866579,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_7f4b3b8568c35b5efbb0,rec_020800fdd0921db40cb7,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.93175853,0.93175853,0.99859155,0.99859155,VERIFIED_NEAR_DUPLICATE
refined_a4430babaf1670c60ce9,rec_0218df5cc2832a83d22b,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.74822191,0.74822191,0.99239544,0.99239544,VERIFIED_NEAR_DUPLICATE
refined_39f9c5dbe8beae36f48a,rec_023846dbfeb7b48e92c1,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.96500000,0.96500000,0.99740933,0.99740933,VERIFIED_NEAR_DUPLICATE
refined_80b8d09fddf4e8e21965,rec_0238b4a224743fe4f1aa,2,2,0,Potato Early blight | Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,6,6,0.69713506,0.69713506,0.98043053,0.98043053,VERIFIED_LABEL_CONFLICT
refined_d0565bf31787bdb25a28,rec_023fad71fc6179f26dbf,3,3,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,3,4,2,4,0.57196496,0.66080402,0.79868709,0.95437262,VERIFIED_NEAR_DUPLICATE
refined_0becb68144425777f86e,rec_0265356c48968bfd0195,3,3,0,Potato Early blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,3,3,4,4,0.58125000,0.64375000,0.90291262,0.95698925,VERIFIED_NEAR_DUPLICATE
refined_f45d1419a3bd47f6268f,rec_0265af1c27a97385360f,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.77835052,0.77835052,0.99172185,0.99172185,VERIFIED_NEAR_DUPLICATE
refined_f923fb69085974fd3fca,rec_026e43ec1553d69aa6e4,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.90338770,0.90338770,0.99861111,0.99861111,VERIFIED_NEAR_DUPLICATE
refined_d5a751f48b5f71f6d505,rec_0270f70499568bbc1710,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.94910941,0.94910941,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_ce47925aea05db1d00da,rec_0271abba06bd4c7b5943,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.93376623,0.93376623,0.99443672,0.99443672,VERIFIED_NEAR_DUPLICATE
refined_6680a1c73b357a80753a,rec_0285da27ba488ee1c715,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.80474198,0.80474198,0.99826690,0.99826690,VERIFIED_NEAR_DUPLICATE
refined_cdc028c39cb9aa35fc07,rec_028ccdf5940512ff11fb,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.95875000,0.95875000,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_311cff36d64339268c8b,rec_02a11b4bb67ee4ceede5,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,3,3,0,0,0.71546961,0.71546961,0.99420849,0.99420849,VERIFIED_NEAR_DUPLICATE
refined_edfc5a5965ff02808f8b,rec_02a53e81b53d8936fabe,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.99750000,0.99750000,0.99874687,0.99874687,VERIFIED_NEAR_DUPLICATE
refined_e41932528b40b010565e,rec_02c45b54b57cac41e4f0,3,3,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,4,0.59533074,0.60305344,0.96835443,0.98692810,VERIFIED_NEAR_DUPLICATE
refined_91ffe104863c486f1dcb,rec_02c5827aec8c9bb0c04e,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.92615770,0.92615770,0.99864865,0.99864865,VERIFIED_NEAR_DUPLICATE
refined_39fdad3131e137f7bfb9,rec_02c7cf65c6b41116989b,2,2,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,3,3,2,2,0.42625000,0.42625000,0.95014663,0.95014663,VERIFIED_NEAR_DUPLICATE
refined_e01576d708723c553799,rec_02ca067c32bc64b72397,2,2,0,Potato Early blight | Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,4,4,0.68656716,0.68656716,0.84782609,0.84782609,VERIFIED_LABEL_CONFLICT
refined_e46536b483d38c404f5e,rec_02e48b60914531fe5e86,2,2,0,Potato Early blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,4,4,4,4,0.60375000,0.60375000,0.93995859,0.93995859,VERIFIED_NEAR_DUPLICATE
refined_90cd95213751b6a3390c,rec_02e894b83780ada59b0e,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.92957746,0.92957746,0.99545455,0.99545455,VERIFIED_NEAR_DUPLICATE
refined_4cf62c3df6267e340c9b,rec_02ef0a34b78ac0d1aa34,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.97375000,0.97375000,0.99614891,0.99614891,VERIFIED_NEAR_DUPLICATE
refined_1c4df0ef9b967c5e04e3,rec_02ef4d84f3297264069e,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.92133333,0.92133333,0.99710564,0.99710564,VERIFIED_NEAR_DUPLICATE
refined_7c4e6e7b313d4c7b93ee,rec_02f217cd12fa32541109,2,2,0,Tomato Early blight | Tomato Septoria leaf spot,PlantDoc,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.21861777,0.21861777,0.97419355,0.97419355,VERIFIED_LABEL_CONFLICT
refined_c2748ced8cf110bde084,rec_0315ba457a209e91d5f6,2,2,0,Potato Early blight | Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,2,2,14,14,0.60677966,0.60677966,0.98324022,0.98324022,VERIFIED_LABEL_CONFLICT
refined_d4cc5324afb39d324675,rec_031aaedd879d5c4d59cd,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.99868074,0.99868074,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_297335c34b9a1450cb81,rec_031db7ba235f34024762,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.94750000,0.94750000,0.99736148,0.99736148,VERIFIED_NEAR_DUPLICATE
refined_9df265ea31d9d2f2e0cf,rec_03275a99f39ee9c2b7a0,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.75883838,0.75883838,0.98169717,0.98169717,VERIFIED_NEAR_DUPLICATE
refined_5fc3a794a9a56a4632b5,rec_032b1ad30f1585bdd1c7,2,2,0,Squash Powdery mildew,PlantDoc,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.93875000,0.93875000,0.99866844,0.99866844,VERIFIED_NEAR_DUPLICATE
refined_b70c9eb7043138f8641e,rec_032b679e12b9a30086de,2,2,0,Corn Cercospora leaf spot,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.88392857,0.88392857,0.99711400,0.99711400,VERIFIED_NEAR_DUPLICATE
refined_1165db56ec0c0d70f22b,rec_033aba862327089c9acb,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,3,3,2,2,0.60621762,0.60621762,0.91025641,0.91025641,VERIFIED_NEAR_DUPLICATE
refined_663866cce6c57182e507,rec_0347c654eae1dbfda44c,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,3,3,0,0,0.94364351,0.94364351,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_907e13899d19fc746f6e,rec_035b06261e12cd6ee826,2,2,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,4,4,4,4,0.67369902,0.67369902,0.93945720,0.93945720,VERIFIED_NEAR_DUPLICATE
refined_9c06cea66597d3b04ce5,rec_035f84bac92eb17c0330,2,2,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,2,2,2,2,0.58000000,0.58000000,0.87284483,0.87284483,VERIFIED_NEAR_DUPLICATE
refined_acd797d535fba6b4b623,rec_0362a8faef9f8537df0d,2,2,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.57750000,0.57750000,0.95670996,0.95670996,VERIFIED_NEAR_DUPLICATE
refined_1845c479b1940a8c8137,rec_0367af6e397ad5690079,2,2,0,Potato Early blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.69152971,0.69152971,0.92870201,0.92870201,VERIFIED_NEAR_DUPLICATE
refined_a213b10893d061a75b5e,rec_0381c183ea8814f92040,3,3,0,Potato Early blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,1,4,4,0.55250000,0.63500000,0.92322835,0.92533937,VERIFIED_NEAR_DUPLICATE
refined_ae6a0f04de945e3b6544,rec_0381c6f053e3bf7368f8,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.91842105,0.91842105,0.99713467,0.99713467,VERIFIED_NEAR_DUPLICATE
refined_90ae1f4ce7c659036a7c,rec_038a5c4a6fa2d82c22c9,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.96708861,0.96708861,0.98952880,0.98952880,VERIFIED_NEAR_DUPLICATE
refined_ac7e74e1008d7bd2ee5d,rec_0398e802d6e3e8cae30d,3,3,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,4,0,2,0.62625000,0.76125000,0.95209581,0.98686371,VERIFIED_NEAR_DUPLICATE
refined_f55b3236e1df86ed2683,rec_03abcdb31e1003255a73,3,3,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,4,2,4,0.77875000,0.78750000,0.92295345,0.96190476,VERIFIED_NEAR_DUPLICATE
refined_ef00b20a04a59ceb619f,rec_03baf14f6f0a357b97b7,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.97500000,0.97500000,0.99871795,0.99871795,VERIFIED_NEAR_DUPLICATE
refined_abbe130838c99c92cd25,rec_03cc537c6bbf8e77c1f1,3,3,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,3,0,4,0.60813008,0.63268608,0.93315508,0.94373402,VERIFIED_NEAR_DUPLICATE
refined_e2bee32340de841a2c32,rec_03d075277add7fd95ea8,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.99625000,0.99625000,1.00000000,1.00000000,VERIFIED_NEAR_DUPLICATE
refined_495b3d97a46f81b57dfe,rec_03d152456afdb48f1476,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.97000000,0.97000000,0.99871134,0.99871134,VERIFIED_NEAR_DUPLICATE
refined_d23aba1d12d37decd6a0,rec_03d295a398405c32e57d,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.82500000,0.82500000,0.99090909,0.99090909,VERIFIED_NEAR_DUPLICATE
refined_86392bc1ab1c01a7540d,rec_03e5d3566f48a012a57b,2,2,0,Potato Early blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,4,4,0.31085526,0.31085526,0.80423280,0.80423280,VERIFIED_NEAR_DUPLICATE
refined_71cc8acc49ca25c31c27,rec_03ebde70bfa0b998fe72,2,2,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,2,2,0.70817121,0.70817121,0.84890110,0.84890110,VERIFIED_NEAR_DUPLICATE
refined_f35e1f63e2c1ba0435a9,rec_03edcb58d626ff26c31a,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.95000000,0.95000000,0.99736842,0.99736842,VERIFIED_NEAR_DUPLICATE
refined_ee01203778001e2483b8,rec_03fcb93d045a6279b857,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.91218130,0.91218130,0.99378882,0.99378882,VERIFIED_NEAR_DUPLICATE
refined_d9daa54848ebd7ff9f4c,rec_0404652f46f008e93f96,2,2,0,Potato Late blight,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,2,2,0.58000000,0.58000000,0.89870690,0.89870690,VERIFIED_NEAR_DUPLICATE
refined_ae70f8c29816888fd8fc,rec_040a275f4f2732ab182e,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,1,1,0,0,0.93307087,0.93307087,0.99718706,0.99718706,VERIFIED_NEAR_DUPLICATE
refined_6e84ebddd0479b20a440,rec_041bce43d54d3f314c32,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.95500000,0.95500000,0.99738220,0.99738220,VERIFIED_NEAR_DUPLICATE
refined_e7f726bcc9638c683fba,rec_042f0d835855cb6a4573,2,2,0,Potato healthy,PLDD-UP,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.95750000,0.95750000,0.99738903,0.99738903,VERIFIED_NEAR_DUPLICATE
refined_4a7073359b8854aa0c8d,rec_042fb14f5ae8e6d9320d,2,2,0,Corn healthy,Seasonal Corn Leaf Disease Dataset,direct representative match: dHash<=4 + pHash + geometry + ORB/RANSAC,0,0,0,0,0.94722955,0.94722955,0.99442897,0.99442897,VERIFIED_NEAR_DUPLICATE
