near_duplicate_group_id,review_category,pair_count_in_group,group_member_count,first_record_id,first_dataset,first_role,first_path,first_label,first_target_class,first_width,first_height,second_record_id,second_dataset,second_role,second_path,second_label,second_target_class,second_width,second_height,hamming_distance
near_1ecfeae8e9d601e3e09f,DIFFERENT_TARGET,2,3,rec_f54f5f70e127a2eb32e5,PLDD-UP,training_candidate,EB/early-blight (165).jpeg,EB,Potato Early blight,719,1600,rec_503df5e2aca60d243d1c,PLDD-UP,training_candidate,Healthy/healthy-leaf (2944).jpg,Healthy,Potato healthy,719,1600,0
near_21ac6c8a225e7a4e961f,DIFFERENT_TARGET,1,2,rec_bb0744092dadd10610e1,PlantDoc,training_candidate,train/Potato leaf early blight/IMG_9055.JPG.jpg,Potato leaf early blight,Potato Early blight,640,480,rec_50713d3793f63dcf8ddf,PlantDoc,training_candidate,train/Tomato Septoria leaf spot/caf212ccf4696675469a0beaa9e57213.jpg,Tomato Septoria leaf spot,Tomato Septoria leaf spot,640,480,0
near_249efc654fe2d642ac68,DIFFERENT_TARGET,2,4,rec_7de5e470e68ea235518f,PLDD-UP,training_candidate,EB/early-blight (241).jpeg,EB,Potato Early blight,719,1600,rec_077fd89758c4cfff6382,PLDD-UP,training_candidate,Healthy/healthy-leaf (3286).jpg,Healthy,Potato healthy,719,1600,1
near_25e45411995e828cf869,DIFFERENT_TARGET,2,3,rec_5c0f83d549b455bc183c,PLDD-UP,training_candidate,EB/early-blight (587).jpg,EB,Potato Early blight,719,1600,rec_8c46435582e2d65c3844,PLDD-UP,training_candidate,Healthy/healthy-leaf (1100).jpg,Healthy,Potato healthy,719,1600,1
near_2791da3a50be06fd2718,DIFFERENT_TARGET,883566,2763,rec_008d49854029df32d1ac,PLDD-UP,training_candidate,EB/early-blight (1015).jpg,EB,Potato Early blight,8160,3672,rec_17f41a281277d63683aa,PLDD-UP,training_candidate,LB/late-blight (4445).jpg,LB,Potato Late blight,8160,3672,0
near_28e47360cc62ad3dbaf2,DIFFERENT_TARGET,1,2,rec_02f217cd12fa32541109,PlantDoc,training_candidate,train/Tomato Early blight leaf/b54d0e40027ff5e90e8ba7e1e9abf9bd--garden-guide-garden-ideas.jpg,Tomato Early blight leaf,Tomato Early blight,448,336,rec_ca219061a9ad19e35602,PlantDoc,training_candidate,train/Tomato Septoria leaf spot/b54d0e40027ff5e90e8ba7e1e9abf9bd.jpg,Tomato Septoria leaf spot,Tomato Septoria leaf spot,200,150,0
near_28e5eae4cb50ff7cfd3c,DIFFERENT_TARGET,2,3,rec_f94f9be279d5eefc6c2c,PLDD-UP,training_candidate,EB/early-blight (1418).jpg,EB,Potato Early blight,4624,3468,rec_b2b22599ae99ff1838f3,PLDD-UP,training_candidate,Healthy/healthy-leaf (2028).jpg,Healthy,Potato healthy,4624,3468,2
near_2c568515be3b771d7144,DIFFERENT_TARGET,1,2,rec_147817764ef5278150cf,PLDD-UP,training_candidate,EB/early-blight (2563).jpg,EB,Potato Early blight,3468,4624,rec_e1672c8f643cbc48cbd3,PLDD-UP,training_candidate,LB/late-blight (5571).jpg,LB,Potato Late blight,3468,4624,4
near_2d544d6e25b4ceec78eb,DIFFERENT_TARGET,1,3,rec_764b80b4ca5ae8bde5d7,PlantDoc,training_candidate,train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,Potato leaf early blight,Potato Early blight,333,500,rec_6e607ae06daa1cfdf119,PlantDoc,training_candidate,train/Tomato leaf late blight/tomato-late-blight-foliar-lesions_Scot-Nelson_CC-BY-SA-2.0.jpg,Tomato leaf late blight,Tomato Late blight,683,1024,0
near_3100c0be0d14e1fdde6d,DIFFERENT_TARGET,2,3,rec_2f89567ca4bb2db8beed,PLDD-UP,training_candidate,EB/early-blight (2602).jpg,EB,Potato Early blight,1600,719,rec_57554b2ea3696f1782c5,PLDD-UP,training_candidate,LB/late-blight (2836).jpg,LB,Potato Late blight,1600,719,0
near_32041d86069bc3e4b327,DIFFERENT_TARGET,1,2,rec_76332fd8915ea934a6c9,PLDD-UP,training_candidate,EB/early-blight (982).jpg,EB,Potato Early blight,719,1600,rec_6819f55eeafcba00e34f,PLDD-UP,training_candidate,LB/late-blight (1349).jpg,LB,Potato Late blight,719,1600,4
near_323f03ce424e0a69f9a5,DIFFERENT_TARGET,1,2,rec_ebaffed3e7ee2ae80a6e,PlantDoc,training_candidate,train/Potato leaf early blight/45035_1.jpg,Potato leaf early blight,Potato Early blight,1200,750,rec_2e30136ff112b27fe90a,PlantDoc,training_candidate,train/Potato leaf late blight/Late+blight+on+potato.jpg,Potato leaf late blight,Potato Late blight,1600,1000,2
near_33a975c2dc4d66b8d41c,DIFFERENT_TARGET,4,13,rec_3049b575eef8c28e3d72,PLDD-UP,training_candidate,EB/early-blight (2562).jpg,EB,Potato Early blight,719,1600,rec_5d6078c9787c7d2be556,PLDD-UP,training_candidate,LB/late-blight (4605).jpg,LB,Potato Late blight,719,1600,4
near_34d30f06a49fd62ff70d,DIFFERENT_TARGET,1,2,rec_951b296c52a25f5bb296,PlantDoc,training_candidate,train/Potato leaf early blight/backus-045-potato-blight.jpg,Potato leaf early blight,Potato Early blight,2848,2136,rec_e0f44fd578553a815b93,PlantDoc,training_candidate,train/Tomato leaf late blight/a7710b5901ba1f8e9759ef7576cd9f09.jpg,Tomato leaf late blight,Tomato Late blight,2848,2136,0
near_354975ea3a45dab10917,DIFFERENT_TARGET,2,3,rec_0d756d2ca3939541a29c,PLDD-UP,training_candidate,EB/early-blight (13).jpeg,EB,Potato Early blight,274,488,rec_9132fbbb63aa7f3b6a6d,PLDD-UP,training_candidate,Healthy/healthy-leaf (78).jpeg,Healthy,Potato healthy,273,448,3
near_3de615d8cbff457d94be,DIFFERENT_TARGET,1,2,rec_e45150d15d515db7ceb6,PlantDoc,training_candidate,train/Potato leaf early blight/14321627273_58d893c3e2_potato-plant.jpg,Potato leaf early blight,Potato Early blight,500,333,rec_9547c34dd72373e5bea4,PlantDoc,training_candidate,train/Potato leaf late blight/14321627273_58d893c3e2_b.jpg,Potato leaf late blight,Potato Late blight,850,566,0
near_46bae3492778b5c1dab6,DIFFERENT_TARGET,2,3,rec_6288673dbe7abc945b76,PLDD-UP,training_candidate,EB/early-blight (243).jpeg,EB,Potato Early blight,719,1600,rec_76ea6d05fce4d038b627,PLDD-UP,training_candidate,Healthy/healthy-leaf (3278).jpg,Healthy,Potato healthy,719,1600,0
near_495644e85cc39e48698a,DIFFERENT_TARGET,1,2,rec_8442bcbd1616991e7e63,PlantDoc,training_candidate,train/Potato leaf early blight/2OBH_29_Gardening_early_blight.jpg,Potato leaf early blight,Potato Early blight,300,225,rec_e2b611a641eca461e743,PlantDoc,training_candidate,train/Tomato Early blight leaf/Early_Blight_of_Tomato1687.jpg,Tomato Early blight leaf,Tomato Early blight,800,600,1
near_4bc3cfce6b1d3f131973,DIFFERENT_TARGET,2,3,rec_8ce5844d3e8d172bdd28,PLDD-UP,training_candidate,EB/early-blight (206).jpeg,EB,Potato Early blight,719,1600,rec_65ba1cfb0a95eec23669,PLDD-UP,training_candidate,Healthy/healthy-leaf (3581).jpg,Healthy,Potato healthy,719,1600,0
near_4d33d8adc2a5cd6c3658,DIFFERENT_TARGET,2,3,rec_e405282af8bb2b127ae4,PLDD-UP,training_candidate,EB/early-blight (86).jpg,EB,Potato Early blight,719,1600,rec_4d711dbced540047dac1,PLDD-UP,training_candidate,LB/late-blight (4053).jpg,LB,Potato Late blight,719,1600,1
near_52e6ebc29ae1b14f16a7,DIFFERENT_TARGET,2,3,rec_6d59ccd119f0bae285ab,PLDD-UP,training_candidate,EB/early-blight (2726).jpg,EB,Potato Early blight,4624,3468,rec_3ef59b18cedb84e41cea,PLDD-UP,training_candidate,Healthy/healthy-leaf (2033).jpg,Healthy,Potato healthy,4624,3468,2
near_5c8051a14fbc0fde78a3,DIFFERENT_TARGET,2,3,rec_271b411e3abb7fedb144,PLDD-UP,training_candidate,EB/early-blight (167).jpeg,EB,Potato Early blight,719,1600,rec_bf44469d841c8ff1084a,PLDD-UP,training_candidate,Healthy/healthy-leaf (2952).jpg,Healthy,Potato healthy,719,1600,0
near_5db40472d5d3e89e0d47,DIFFERENT_TARGET,1,2,rec_b9551ea2afd22b60a061,PlantDoc,training_candidate,train/Potato leaf late blight/Jessore-potato-late-blight-8-2h2fdkl.jpg,Potato leaf late blight,Potato Late blight,2448,3264,rec_a0afef75bf96dbb8d806,PlantDoc,training_candidate,train/Tomato leaf late blight/symptoms_of_late_blight_0.jpg,Tomato leaf late blight,Tomato Late blight,814,1085,0
near_60477af7f1b6c3801eb1,DIFFERENT_TARGET,1,5,rec_1802c0e068844b144f28,PLDD-UP,training_candidate,EB/early-blight (285).jpg,EB,Potato Early blight,1600,719,rec_6cc83972325b68367f40,PLDD-UP,training_candidate,LB/late-blight (2268).jpg,LB,Potato Late blight,1600,719,4
near_63cc81d2f436ce6b2be8,DIFFERENT_TARGET,3,4,rec_5145279c80ae3e28e0ff,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Gray_leaf_spot/resized_2.png,Gray_leaf_spot,Corn Cercospora leaf spot,200,200,rec_05c72f775e8205d5c5a9,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Healthy/IMG_20240210_154256.jpg,Healthy,Corn healthy,200,200,0
near_6479c405df452536fa25,DIFFERENT_TARGET,1,2,rec_1e0cb47f7440b1cb4474,PLDD-UP,training_candidate,EB/early-blight (2723).jpg,EB,Potato Early blight,719,1600,rec_642ea674d6acb7ed008f,PLDD-UP,training_candidate,LB/late-blight (5344).jpg,LB,Potato Late blight,719,1600,4
near_672c7cc2fc0b5076eb3a,DIFFERENT_TARGET,1,2,rec_e2e3dbcd8ed89b2f6e32,PlantDoc,training_candidate,train/Tomato Early blight leaf/p1020084s.jpg,Tomato Early blight leaf,Tomato Early blight,800,600,rec_7f6cd83a4e9e451ccd23,PlantDoc,training_candidate,train/Tomato leaf late blight/tomato_late-blight_04_zoom.jpg,Tomato leaf late blight,Tomato Late blight,900,675,0
near_68dd842ba029f409ec07,DIFFERENT_TARGET,2,3,rec_b09ef64f26f726e88533,PLDD-UP,training_candidate,EB/early-blight (171).jpeg,EB,Potato Early blight,719,1600,rec_1c7b60cb5d8dac2e7d32,PLDD-UP,training_candidate,Healthy/healthy-leaf (3307).jpg,Healthy,Potato healthy,719,1600,0
near_696897b0991b8deba6da,DIFFERENT_TARGET,1,2,rec_1b5530a0d0a24ed3991d,PLDD-UP,training_candidate,EB/early-blight (2367).jpg,EB,Potato Early blight,719,1600,rec_acc9cf45e26afc8e33f5,PLDD-UP,training_candidate,LB/late-blight (5688).jpg,LB,Potato Late blight,719,1600,1
near_6f478c4960d3784f08aa,DIFFERENT_TARGET,2,3,rec_f1f0c5cd3f99b5c285a3,PLDD-UP,training_candidate,EB/early-blight (1844).jpg,EB,Potato Early blight,1600,719,rec_d8fdf6cf4d393a13e3f4,PLDD-UP,training_candidate,LB/late-blight (2406).jpg,LB,Potato Late blight,1600,719,2
near_7199b0584a02c91eb5b8,DIFFERENT_TARGET,12,42,rec_0e1528867f20b005723d,PLDD-UP,training_candidate,EB/early-blight (207).jpg,EB,Potato Early blight,4624,3468,rec_ddb0f5e0a00353d1b963,PLDD-UP,training_candidate,LB/late-blight (4086).jpg,LB,Potato Late blight,4624,3468,0
near_794bdb3c926a84df966b,DIFFERENT_TARGET,2,3,rec_7fbc72fea97938c9ac8e,PLDD-UP,training_candidate,EB/early-blight (233).jpeg,EB,Potato Early blight,1600,719,rec_0b55a0a59eb6d0c3ca1a,PLDD-UP,training_candidate,Healthy/healthy-leaf (3557).jpg,Healthy,Potato healthy,1600,719,0
near_7da543dd93b9318b9c01,DIFFERENT_TARGET,1,2,rec_d052f128475cafc7ec58,PLDD-UP,training_candidate,EB/early-blight (2142).jpg,EB,Potato Early blight,1600,719,rec_c6b81097cb3e6dd9c796,PLDD-UP,training_candidate,LB/late-blight (4054).jpg,LB,Potato Late blight,1600,719,1
near_83b738f77fa9251c1828,DIFFERENT_TARGET,1,2,rec_55accd4d9b4920530e07,PLDD-UP,training_candidate,EB/early-blight (2153).jpg,EB,Potato Early blight,719,1600,rec_ae87eab6f0625d16ca92,PLDD-UP,training_candidate,LB/late-blight (3466).jpg,LB,Potato Late blight,719,1600,4
near_8c876730db2e2996604d,DIFFERENT_TARGET,1,2,rec_b917f781345cb40aa5e3,PLDD-UP,training_candidate,EB/early-blight (1638).jpg,EB,Potato Early blight,719,1600,rec_ae8136fc94d9e5c39da9,PLDD-UP,training_candidate,LB/late-blight (3556).jpg,LB,Potato Late blight,719,1600,4
near_8cb4bbeae84e7f6b8202,DIFFERENT_TARGET,1,2,rec_5e5fb258ee306b4b7fe8,PlantDoc,training_candidate,train/Potato leaf early blight/early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-by9j8r.jpg,Potato leaf early blight,Potato Early blight,307,320,rec_dc5e63860da73b1809c5,PlantDoc,training_candidate,train/Tomato Early blight leaf/early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-BY9J8R.jpg,Tomato Early blight leaf,Tomato Early blight,1300,1359,3
near_9320baee459e28f5a16f,DIFFERENT_TARGET,4,8,rec_2fc41a226ab0846d33b5,PLDD-UP,training_candidate,EB/early-blight (1892).jpg,EB,Potato Early blight,8160,3672,rec_acc88199e59567ee1404,PLDD-UP,training_candidate,LB/late-blight (3086).jpg,LB,Potato Late blight,4624,3468,4
near_95bf4fed2c701af97816,DIFFERENT_TARGET,1,2,rec_64d411903081651a9f76,PlantDoc,training_candidate,train/Tomato Septoria leaf spot/Tomato%20bacterial%20spot%20closeup-050S.JPG.jpg,Tomato Septoria leaf spot,Tomato Septoria leaf spot,640,480,rec_bb3e027b4da41d5720c2,PlantDoc,training_candidate,train/Tomato leaf bacterial spot/RyBx7MH.jpg,Tomato leaf bacterial spot,Tomato Bacterial spot,259,194,0
near_971eb7e3541d723e8743,DIFFERENT_TARGET,4,4,rec_e75038d773500abde0de,PLDD-UP,training_candidate,EB/early-blight (218).jpeg,EB,Potato Early blight,719,1600,rec_0f9698a8ae62568346d1,PLDD-UP,training_candidate,Healthy/healthy-leaf (3565).jpg,Healthy,Potato healthy,719,1600,0
near_97f1cd3368ecebbeec00,DIFFERENT_TARGET,1,2,rec_1b1f02e875fb153860e2,PlantDoc,training_candidate,train/Tomato Septoria leaf spot/Sept9-300x225.jpg,Tomato Septoria leaf spot,Tomato Septoria leaf spot,300,225,rec_d7bebd384f1b51f1bc93,PlantDoc,training_candidate,train/Tomato leaf bacterial spot/FS547-4-big.jpg,Tomato leaf bacterial spot,Tomato Bacterial spot,640,480,1
near_9e4c93bba7bb53a3fa8f,DIFFERENT_TARGET,1,2,rec_d8d7962d358ad9714795,PLDD-UP,training_candidate,EB/early-blight (2695).jpg,EB,Potato Early blight,719,1600,rec_929fedeff232c019dc73,PLDD-UP,training_candidate,LB/late-blight (4636).jpg,LB,Potato Late blight,719,1600,4
near_a1794cb2fada90b699c1,DIFFERENT_TARGET,1,3,rec_b7cfbb9632e9eb97d591,PLDD-UP,training_candidate,Healthy/healthy-leaf (3714).jpg,Healthy,Potato healthy,719,1600,rec_b4f2677f94c153930710,PLDD-UP,training_candidate,LB/late-blight (4453).jpg,LB,Potato Late blight,719,1600,4
near_a26fc8de3ddae1ba9507,DIFFERENT_TARGET,2,3,rec_e6d33b1bf9c0b2e41481,PLDD-UP,training_candidate,EB/early-blight (219).jpeg,EB,Potato Early blight,719,1600,rec_225d6b7415cc6876cd67,PLDD-UP,training_candidate,Healthy/healthy-leaf (3554).jpg,Healthy,Potato healthy,719,1600,0
near_a7d8d4d5715a4e8dd2e8,DIFFERENT_TARGET,2,3,rec_b55f3420eebc1c1a48a7,PLDD-UP,training_candidate,EB/early-blight (567).jpg,EB,Potato Early blight,719,1600,rec_e671259781db38da6d18,PLDD-UP,training_candidate,Healthy/healthy-leaf (1101).jpg,Healthy,Potato healthy,719,1600,2
near_ab5568a14b435d478525,DIFFERENT_TARGET,1,2,rec_b7df2afed25624eacb7a,PlantDoc,training_candidate,train/Potato leaf late blight/IMG_5813-1024x768.jpg,Potato leaf late blight,Potato Late blight,1024,768,rec_21327a19717c5bef3ccb,PlantDoc,training_candidate,train/Tomato leaf late blight/IMG_5813.jpg,Tomato leaf late blight,Tomato Late blight,4000,3000,1
near_ab5809814f688299ad24,DIFFERENT_TARGET,1,2,rec_19517d94f463e661cf00,PLDD-UP,training_candidate,EB/early-blight (1705).jpg,EB,Potato Early blight,3468,4624,rec_e99bf482f7697395ea94,PLDD-UP,training_candidate,LB/late-blight (1516).jpg,LB,Potato Late blight,3468,4624,4
near_b60d601e863d6847f4de,DIFFERENT_TARGET,1,3,rec_07592df89063e57a65ab,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Healthy/healty_original_DSC_1423.JPG_059f012d-05fb-42b0-b85a-107d057fa830.JPG,Healthy,Corn healthy,4032,3024,rec_4f39fe357d3dfdd49325,PLDD-UP,training_candidate,LB/late-blight (3803).jpg,LB,Potato Late blight,719,1600,4
near_ba5ff3fc5aa24bc34047,DIFFERENT_TARGET,3,4,rec_60476eeb17bb303ffc04,PLDD-UP,training_candidate,EB/early-blight (2125).jpg,EB,Potato Early blight,1600,719,rec_4a60dfaa4f42305aa3fd,PLDD-UP,training_candidate,LB/late-blight (5134).jpg,LB,Potato Late blight,1600,719,3
near_c427f8569fa401976681,DIFFERENT_TARGET,1,2,rec_9bbb9b1decfb140e8f44,PLDD-UP,training_candidate,EB/early-blight (2891).jpg,EB,Potato Early blight,719,1600,rec_7a5f13a55badbf499686,PLDD-UP,training_candidate,LB/late-blight (4496).jpg,LB,Potato Late blight,719,1600,4
near_c5eb5daae81c5f71fd47,DIFFERENT_TARGET,1,2,rec_8628ee541e99f744c327,PlantDoc,training_candidate,train/Potato leaf early blight/Blght.jpg,Potato leaf early blight,Potato Early blight,2400,1800,rec_634857ced97808a7e5bf,PlantDoc,training_candidate,train/Tomato leaf late blight/LBleaf2INIA_0.jpg,Tomato leaf late blight,Tomato Late blight,2048,1536,0
near_c64cdca74d3141f77fb2,DIFFERENT_TARGET,1,2,rec_a3173d54e92dcc43d07a,PLDD-UP,training_candidate,EB/early-blight (3032).jpg,EB,Potato Early blight,719,1600,rec_77a8d08af27118320f73,PLDD-UP,training_candidate,LB/late-blight (2104).jpg,LB,Potato Late blight,719,1600,4
near_c6eb4cd5d8da53374029,DIFFERENT_TARGET,2,3,rec_373e6d09d64af0ee286e,PLDD-UP,training_candidate,EB/early-blight (682).jpg,EB,Potato Early blight,719,1600,rec_1bac8332cf1d85167ddc,PLDD-UP,training_candidate,LB/late-blight (4815).jpg,LB,Potato Late blight,719,1600,3
near_c7cd3e127411c5bf6b68,DIFFERENT_TARGET,1,2,rec_8b9e8d8a706ff0fdf722,PlantDoc,training_candidate,train/Potato leaf early blight/Early-Blight-Leaves-56a348bf3df78cf7727cb35e.jpg,Potato leaf early blight,Potato Early blight,768,768,rec_6546fc4cbf435f5776fb,PlantDoc,training_candidate,train/Tomato leaf late blight/Pest2369.jpg,Tomato leaf late blight,Tomato Late blight,600,600,0
near_c868da1c8c39d8575fd7,DIFFERENT_TARGET,3,6,rec_ae68c9382050f620903a,PLDD-UP,training_candidate,EB/early-blight (1159).jpg,EB,Potato Early blight,1600,719,rec_588e6c3283c7265b80c2,PLDD-UP,training_candidate,LB/late-blight (2036).jpg,LB,Potato Late blight,1600,719,2
near_c994abb31d149460d604,DIFFERENT_TARGET,1,2,rec_83650a497ade2c12f8c8,PLDD-UP,training_candidate,EB/early-blight (2608).jpg,EB,Potato Early blight,719,1600,rec_7a5ceeeddc9069551cea,PLDD-UP,training_candidate,LB/late-blight (3728).jpg,LB,Potato Late blight,719,1600,4
near_cd9c79a21b01012c21c8,DIFFERENT_TARGET,1,12,rec_9034e86a7ee054d193e1,PLDD-UP,training_candidate,EB/early-blight (572).jpg,EB,Potato Early blight,719,1600,rec_6db48f7d3009946546e2,PLDD-UP,training_candidate,LB/late-blight (5527).jpg,LB,Potato Late blight,719,1600,1
near_cfa582c9b9f123f405d9,DIFFERENT_TARGET,1,2,rec_95d5117d142dcf83c1f9,PlantDoc,training_candidate,train/Potato leaf early blight/early-blight-closeup-NCSU.jpg,Potato leaf early blight,Potato Early blight,454,291,rec_7ac03f397411ea15addc,PlantDoc,training_candidate,train/Tomato Early blight leaf/early-blight-closeup-sm.jpg,Tomato Early blight leaf,Tomato Early blight,454,291,0
near_d0a4a5f4330597adeee2,DIFFERENT_TARGET,1,2,rec_0927952925753d843567,PLDD-UP,training_candidate,EB/early-blight (1669).jpg,EB,Potato Early blight,4624,3468,rec_c1fa2abaef7430a5cc62,PLDD-UP,training_candidate,Healthy/healthy-leaf (2031).jpg,Healthy,Potato healthy,4624,3468,4
near_d41c2c49103e6a0cec69,DIFFERENT_TARGET,7,9,rec_076204fb3ea22bab3450,PLDD-UP,training_candidate,EB/early-blight (2590).jpg,EB,Potato Early blight,1600,719,rec_0238b4a224743fe4f1aa,PLDD-UP,training_candidate,LB/late-blight (3978).jpg,LB,Potato Late blight,1600,719,0
near_da86e356bdbe7b960d56,DIFFERENT_TARGET,1,2,rec_0d38fde2ef1f67afca0c,PLDD-UP,training_candidate,EB/early-blight (678).jpg,EB,Potato Early blight,719,1600,rec_b0dac3d7cc952245d893,PLDD-UP,training_candidate,LB/late-blight (1083).jpg,LB,Potato Late blight,719,1600,4
near_dbaca8c2601c5a5460e1,DIFFERENT_TARGET,2,3,rec_8fc7e4efb6e9a5123bcc,PLDD-UP,training_candidate,EB/early-blight (389).jpg,EB,Potato Early blight,719,1600,rec_79bfd0ff5ed9a866e8b1,PLDD-UP,training_candidate,Healthy/healthy-leaf (3288).jpg,Healthy,Potato healthy,719,1600,1
near_dd99c6f2d0d33f755ff7,DIFFERENT_TARGET,1,2,rec_816e2f5e576ba4bab674,PLDD-UP,training_candidate,EB/early-blight (1381).jpg,EB,Potato Early blight,719,1600,rec_3119fe240a4c66814ccf,PLDD-UP,training_candidate,LB/late-blight (5089).jpg,LB,Potato Late blight,719,1600,3
near_e5386b12e990a5c8c4b7,DIFFERENT_TARGET,2,3,rec_ca5b553a372e86767177,PLDD-UP,training_candidate,EB/early-blight (2325).jpg,EB,Potato Early blight,719,1600,rec_bca269e9687f776eb97a,PLDD-UP,training_candidate,Healthy/healthy-leaf (1104).jpg,Healthy,Potato healthy,719,1600,2
near_e62ac8813936939d40c3,DIFFERENT_TARGET,1,2,rec_2d615e9a174115cee664,PlantDoc,training_candidate,train/Tomato Early blight leaf/MPC105550.jpg.rendition.largest.ss.jpg,Tomato Early blight leaf,Tomato Early blight,300,300,rec_207fa745cc7d8984d251,PlantDoc,training_candidate,train/Tomato Septoria leaf spot/MPC105550.jpg.rendition.largest.550.jpg,Tomato Septoria leaf spot,Tomato Septoria leaf spot,550,550,0
near_e7f75a09b77208c79562,DIFFERENT_TARGET,2,3,rec_290ae3773da4a095b67f,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Gray_leaf_spot/resized_3.png,Gray_leaf_spot,Corn Cercospora leaf spot,200,200,rec_9a55a18f9876def49b73,Seasonal Corn Leaf Disease Dataset,training_candidate,Final corn dataset/Healthy/IMG_20240210_154257.jpg,Healthy,Corn healthy,200,200,0
