target_index,target_class,total,train,validation,test,train_percentage,validation_percentage,test_percentage,train_deviation_percentage_points,validation_deviation_percentage_points,test_deviation_percentage_points,historical_total,historical_train,historical_validation,historical_test,real_world_total,real_world_train,real_world_validation,real_world_test,real_world_group_count,real_world_validation_group_count,real_world_test_group_count,real_world_holdout_status
10,Corn Northern Leaf Blight,985,788,99,98,80.0,10.05076142,9.94923858,0.0,0.05076142,-0.05076142,985,788,99,98,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
11,Corn healthy,2192,1755,219,218,80.06386861,9.99087591,9.94525547,0.06386861,-0.00912409,-0.05474453,1162,930,116,116,1030,825,103,102,602,62,64,ROBUST_REAL_WORLD_HOLDOUT
12,Grape Black rot,1236,989,124,123,80.01618123,10.03236246,9.95145631,0.01618123,0.03236246,-0.04854369,1180,944,118,118,56,45,6,5,55,6,4,LIMITED_REAL_WORLD_HOLDOUT
13,Grape Esca,1383,1107,138,138,80.04338395,9.97830803,9.97830803,0.04338395,-0.02169197,-0.02169197,1383,1107,138,138,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
14,Grape Leaf blight,1076,861,108,107,80.01858736,10.03717472,9.94423792,0.01858736,0.03717472,-0.05576208,1076,861,108,107,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
15,Grape healthy,423,339,42,42,80.14184397,9.92907801,9.92907801,0.14184397,-0.07092199,-0.07092199,423,339,42,42,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
16,Orange Huanglongbing,5507,4405,551,551,79.98910478,10.00544761,10.00544761,-0.01089522,0.00544761,0.00544761,5507,4405,551,551,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
17,Peach Bacterial spot,2297,1837,230,230,79.97387897,10.01306051,10.01306051,-0.02612103,0.01306051,0.01306051,2297,1837,230,230,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
18,Peach healthy,360,288,36,36,80.0,10.0,10.0,0.0,0.0,0.0,360,288,36,36,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
19,Bell pepper Bacterial spot,997,797,100,100,79.93981946,10.03009027,10.03009027,-0.06018054,0.03009027,0.03009027,997,797,100,100,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
20,Bell pepper healthy,1478,1182,148,148,79.9729364,10.0135318,10.0135318,-0.0270636,0.0135318,0.0135318,1478,1182,148,148,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
21,Potato Early blight,5751,4601,576,574,80.00347766,10.01564945,9.98087289,0.00347766,0.01564945,-0.01912711,1000,800,100,100,4751,3801,476,474,4438,447,450,ROBUST_REAL_WORLD_HOLDOUT
22,Potato Late blight,7105,5685,711,709,80.0140746,10.0070373,9.97888811,0.0140746,0.0070373,-0.02111189,1000,800,100,100,6105,4885,611,609,5686,578,583,ROBUST_REAL_WORLD_HOLDOUT
23,Potato healthy,4540,3634,453,453,80.04405286,9.97797357,9.97797357,0.04405286,-0.02202643,-0.02202643,152,122,15,15,4388,3512,438,438,2748,283,282,ROBUST_REAL_WORLD_HOLDOUT
24,Raspberry healthy,371,297,37,37,80.05390836,9.97304582,9.97304582,0.05390836,-0.02695418,-0.02695418,371,297,37,37,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
25,Soybean healthy,5090,4072,509,509,80.0,10.0,10.0,0.0,0.0,0.0,5090,4072,509,509,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
26,Squash Powdery mildew,1959,1567,197,195,79.98979071,10.0561511,9.95405819,-0.01020929,0.0561511,-0.04594181,1835,1468,184,183,124,99,13,12,122,13,12,LIMITED_REAL_WORLD_HOLDOUT
27,Strawberry Leaf scorch,1109,887,111,111,79.98196573,10.00901713,10.00901713,-0.01803427,0.00901713,0.00901713,1109,887,111,111,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
28,Strawberry healthy,456,365,46,45,80.04385965,10.0877193,9.86842105,0.04385965,0.0877193,-0.13157895,456,365,46,45,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
29,Tomato Bacterial spot,2225,1779,223,223,79.95505618,10.02247191,10.02247191,-0.04494382,0.02247191,0.02247191,2127,1701,213,213,98,78,10,10,97,10,9,LIMITED_REAL_WORLD_HOLDOUT
30,Tomato Early blight,1069,855,107,107,79.98129093,10.00935454,10.00935454,-0.01870907,0.00935454,0.00935454,1000,800,100,100,69,55,7,7,66,7,7,LIMITED_REAL_WORLD_HOLDOUT
31,Tomato Late blight,1993,1595,199,199,80.03010537,9.98494732,9.98494732,0.03010537,-0.01505268,-0.01505268,1900,1520,190,190,93,75,9,9,90,8,8,LIMITED_REAL_WORLD_HOLDOUT
32,Tomato Leaf Mold,1037,830,104,103,80.03857281,10.0289296,9.93249759,0.03857281,0.0289296,-0.06750241,952,762,95,95,85,68,9,8,85,9,8,LIMITED_REAL_WORLD_HOLDOUT
33,Tomato Septoria leaf spot,1904,1524,190,190,80.04201681,9.9789916,9.9789916,0.04201681,-0.0210084,-0.0210084,1771,1417,177,177,133,107,13,13,129,13,13,LIMITED_REAL_WORLD_HOLDOUT
34,Tomato Spider mites,1678,1343,168,167,80.03575685,10.01191895,9.9523242,0.03575685,0.01191895,-0.0476758,1676,1341,168,167,2,2,0,0,2,0,0,NO_REAL_WORLD_HOLDOUT
35,Tomato Target Spot,1404,1123,141,140,79.98575499,10.04273504,9.97150997,-0.01424501,0.04273504,-0.02849003,1404,1123,141,140,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
36,Tomato Yellow Leaf Curl Virus,5357,4285,536,536,79.9887997,10.00560015,10.00560015,-0.0112003,0.00560015,0.00560015,5357,4285,536,536,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
37,Tomato mosaic virus,417,334,42,41,80.09592326,10.07194245,9.83213429,0.09592326,0.07194245,-0.16786571,373,299,37,37,44,35,5,4,44,5,4,LIMITED_REAL_WORLD_HOLDOUT
38,Tomato healthy,1584,1267,159,158,79.98737374,10.03787879,9.97474747,-0.01262626,0.03787879,-0.02525253,1584,1267,159,158,0,0,0,0,0,0,0,NOT_APPLICABLE_NO_REAL_WORLD_DATA
