first_dataset,first_role,first_label,first_path,second_dataset,second_role,second_label,second_path,hamming_distance,same_label,cross_role,touches_locked_test
PlantDoc,training_candidate,Corn rust leaf,train/Corn rust leaf/Corn-Common-Rust-300x225.jpg,PlantDoc,training_candidate,Corn rust leaf,train/Corn rust leaf/Corn-Common-Rust.jpg,0,True,False,False
PlantDoc,training_candidate,Peach leaf,train/Peach leaf/fresh-peach-fruits-green-leaves-15654533.jpg,PlantDoc,training_candidate,Peach leaf,train/Peach leaf/stock-photo-fresh-peach-fruits-with-green-leaves-isolated-on-white-background-59305621.jpg,4,True,False,False
PlantDoc,training_candidate,Peach leaf,train/Peach leaf/peach-with-leaf-isolated-on-white-picture-id466696757.jpg,PlantDoc,training_candidate,Peach leaf,train/Peach leaf/stock-photo-peach-with-leaf-isolated-on-white-168119267.jpg,3,True,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/14321627273_58d893c3e2_potato-plant.jpg,PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/14321627273_58d893c3e2_b.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/2OBH_29_Gardening_early_blight.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/Early_Blight_of_Tomato1687.jpg,1,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/36-early-blight-concentric-rings.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/EBTomato.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/36-early-blight-concentric-rings.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/tomatoblight.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/45035_1.jpg,PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/Late+blight+on+potato.jpg,2,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/tomato-late-blight-foliar-lesions_Scot-Nelson_CC-BY-SA-2.0.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/Blght.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/LBleaf2INIA_0.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/Early-Blight-Leaves-56a348bf3df78cf7727cb35e.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/Pest2369.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/IMG_9055.JPG.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/caf212ccf4696675469a0beaa9e57213.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/backus-045-potato-blight.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/a7710b5901ba1f8e9759ef7576cd9f09.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/early-blight-closeup-NCSU.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/early-blight-closeup-sm.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf early blight,train/Potato leaf early blight/early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-by9j8r.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-BY9J8R.jpg,3,False,False,False
PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/IMG_5813-1024x768.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/IMG_5813.jpg,1,False,False,False
PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/Jessore-potato-late-blight-8-2h2fdkl.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/symptoms_of_late_blight_0.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/LB_potato_leaf_topside.jpg,PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/PotatoLateBlight2.jpg,0,True,False,False
PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/Symptom_potato_late_blight.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/126689-004-D622CD2F.jpg,0,False,False,False
PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/b3a52d4eda0deedc34260c4dee847a5b.jpg,PlantDoc,training_candidate,Potato leaf late blight,train/Potato leaf late blight/early_blight.jpg,0,True,False,False
PlantDoc,training_candidate,Raspberry leaf,train/Raspberry leaf/579a1aa0c6b3fd0354d1a6b57a40ac42--red-raspberry-medicinal-plants.jpg,PlantDoc,training_candidate,Raspberry leaf,train/Raspberry leaf/Raspberry-Suckers1.jpg,0,True,False,False
PlantDoc,training_candidate,Soyabean leaf,train/Soyabean leaf/fresh-soy-leaves-white-46020567.jpg,PlantDoc,training_candidate,Soyabean leaf,train/Soyabean leaf/stock-photo-fresh-soy-leaves-isolated-on-white-224197243.jpg,4,True,False,False
PlantDoc,training_candidate,Squash Powdery mildew leaf,train/Squash Powdery mildew leaf/6c460a55e7e8607e922d98e1416448d4.jpg,PlantDoc,training_candidate,Squash Powdery mildew leaf,train/Squash Powdery mildew leaf/Aug+16+2010+051.jpg,0,True,False,False
PlantDoc,training_candidate,Squash Powdery mildew leaf,train/Squash Powdery mildew leaf/squash-plant-identification-squash-powdery-mildew-garden-squash-varieties-pictures.jpg,PlantDoc,training_candidate,Squash Powdery mildew leaf,train/Squash Powdery mildew leaf/squash-powdery-mildew.jpg,0,True,False,False
PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/3606630.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/early-blight-pp-labeled_orig.jpg,1,True,False,False
PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/EBTomato.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/tomatoblight.jpg,0,True,False,False
PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/Early-bligh_t.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/Early-blight.jpg,1,True,False,False
PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/MPC105550.jpg.rendition.largest.ss.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/MPC105550.jpg.rendition.largest.550.jpg,0,False,False,False
PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/b54d0e40027ff5e90e8ba7e1e9abf9bd--garden-guide-garden-ideas.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/b54d0e40027ff5e90e8ba7e1e9abf9bd.jpg,0,False,False,False
PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/confused-bacterial-canker-early-blight-zoom.JPG.jpg,PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/tomato_D2b-Early-blight---RPitblado_zoom.jpg,3,True,False,False
PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/earlyblightpotato.jpg,PlantDoc,locked_test,Potato leaf early blight,test/Potato leaf early blight/earlyblightpotato.jpg,0,False,True,True
PlantDoc,training_candidate,Tomato Early blight leaf,train/Tomato Early blight leaf/p1020084s.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/tomato_late-blight_04_zoom.jpg,0,False,False,False
PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/5c77186a4ea326e5495c9d03cd89ce16.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/eb56b488e349c2de423ab6afbcc4bd5b.jpg,2,True,False,False
PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/Sept9-300x225.jpg,PlantDoc,training_candidate,Tomato leaf bacterial spot,train/Tomato leaf bacterial spot/FS547-4-big.jpg,1,False,False,False
PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/Septoria-Tomato.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/tomatofactsheet.png.png,0,True,False,False
PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/Tomato%20bacterial%20spot%20closeup-050S.JPG.jpg,PlantDoc,training_candidate,Tomato leaf bacterial spot,train/Tomato leaf bacterial spot/RyBx7MH.jpg,0,False,False,False
PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/gray-leaf-spot.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/xgray-leaf-spot.jpg.pagespeed.ic.ltF8KfKtQ1.jpg,0,True,False,False
PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/tomato-septoria-3-500x384.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/tomato-septoria-3.jpg,0,True,False,False
PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/tomato-septoria-5-500x384.jpg,PlantDoc,training_candidate,Tomato Septoria leaf spot,train/Tomato Septoria leaf spot/tomato-septoria-5.jpg,2,True,False,False
PlantDoc,training_candidate,Tomato leaf bacterial spot,train/Tomato leaf bacterial spot/BCH%20medium%20thumbnail%20for%20upload%20%2814%29.jpg,PlantDoc,training_candidate,Tomato leaf bacterial spot,train/Tomato leaf bacterial spot/BCH%20small%20thumbnail%20for%20upload%20%2814%29.jpg,1,True,False,False
PlantDoc,training_candidate,Tomato leaf bacterial spot,train/Tomato leaf bacterial spot/TomatoBacterialSpot2.jpg,PlantDoc,training_candidate,Tomato leaf bacterial spot,train/Tomato leaf bacterial spot/bact-spot-leaf-big.jpg,3,True,False,False
PlantDoc,training_candidate,Tomato leaf bacterial spot,train/Tomato leaf bacterial spot/bacterial-canker3x2400-2ia1kgd.jpg,PlantDoc,locked_test,Tomato leaf bacterial spot,test/Tomato leaf bacterial spot/07.17.18-Common_Tomato_Diseases_Canker-258x300.jpg,0,True,True,True
PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/20150619d.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/IMG_5360.jpg,0,True,False,False
PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/924977LateBlightLeaf.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/LateBlightLeaf.jpg,0,True,False,False
PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/TomatoLateBlight-3-Underside-2ebj05b-300x225.jpg,PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/symptoms_of_late_blight.jpg2__0.jpg,0,True,False,False
PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/late_blight1.jpg,PlantDoc,locked_test,Tomato leaf late blight,test/Tomato leaf late blight/18c.jpg,0,True,True,True
PlantDoc,training_candidate,Tomato leaf late blight,train/Tomato leaf late blight/tomato-late-blight-foliar-lesions_Scot-Nelson_CC-BY-SA-2.0.jpg,PlantDoc,locked_test,Potato leaf late blight,test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,0,False,True,True
PlantDoc,training_candidate,Tomato leaf mosaic virus,train/Tomato leaf mosaic virus/ab40cce958c60d8b6e0ec2e4fdb8f526.jpg,PlantDoc,training_candidate,Tomato leaf yellow virus,train/Tomato leaf yellow virus/Tomato2.jpg,0,False,False,False
PlantDoc,training_candidate,Tomato leaf yellow virus,train/Tomato leaf yellow virus/TYLCVDFerrinlr.jpg,PlantDoc,training_candidate,Tomato leaf yellow virus,train/Tomato leaf yellow virus/tomato-plant-virus-tomato-yellow-leaf-curl-virus-tomato-plant-disease-mosaic-virus.jpg,2,True,False,False
PlantDoc,training_candidate,Tomato leaf yellow virus,train/Tomato leaf yellow virus/tomato-yellow-leaf-curl-disease.jpg,PlantDoc,training_candidate,Tomato mold leaf,train/Tomato mold leaf/tylc.jpg,0,False,False,False
PlantDoc,training_candidate,grape leaf black rot,train/grape leaf black rot/image66.jpg,PlantDoc,training_candidate,grape leaf black rot,train/grape leaf black rot/muscals2.jpg,2,True,False,False
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_2.jpg,Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_1.jpg,4,True,False,False
Potato Leaf Disease Dataset,training_candidate,Viral PVX,Potato Leaf Disease Dataset/Viral PVX/orig_4.jpg,Potato Leaf Disease Dataset,training_candidate,Viral PVX,Potato Leaf Disease Dataset/Viral PVX/orig_3.jpg,4,True,False,False
PlantDoc,locked_test,Peach leaf,test/Peach leaf/7190f27ead55c0f6e3ff8b982972810a5446a9713a49d_1260x1260.jpg,PlantDoc,locked_test,Peach leaf,test/Peach leaf/depositphotos_3786198-Peach-leaf.jpg,4,True,False,True
