dataset,source_version,role,source_label,mapping_status,target_class,source_path,local_file,sha256,dhash,format,mode,width,height,bytes,original_or_augmented,candidate_status
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple_scab.jpg?t=1473441220256&width=300&height=200&name=Apple_scab.jpg,Apple Scab Leaf/00020_5d6b6e28d40f85ad.jpg,5d6b6e28d40f85adb631d7984f5ecda27ca63dd4eed2f819b0eeaec37fed69e4,706aededccd494bc,JPEG,RGB,300,200,28901,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Apple_scab_symptoms_on_leaf.jpg,Apple Scab Leaf/00021_904dd8eece3ccf40.jpg,904dd8eece3ccf406b74955d508fa88016173e3316ccabe184b1c4a43b0de87b,194dc6c725265343,JPEG,RGB,800,720,51968,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/DSC00005.JPG.jpg,Apple Scab Leaf/00022_1ee0c9aaeabb5719.jpg,1ee0c9aaeabb5719384627444150515cc56553e5cf37f78ee95038b1329b2416,c66220ecfc0e06c0,JPEG,RGB,400,265,45942,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/DSCF1248-1gz1wpc.jpg,Apple Scab Leaf/00023_8e939241d8233e08.jpg,8e939241d8233e0821e0344a3f79a343f40b17ec305c6694f74c1adda824e7c7,8f2627273727272d,JPEG,RGB,3296,2472,1994564,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/IMG_3166_1500x1500%253E.JPG?1473520197.jpg,Apple Scab Leaf/00024_7e5de8b54be60250.jpg,7e5de8b54be60250f24808715d7226ef0323e2f903e32e352df1ad8892700f31,71a48e2c66c696a5,JPEG,RGB,1500,1500,946465,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/IMG_3455-xjgwni-1024x1024.jpg,Apple Scab Leaf/00025_4c0fe5bde156dcf9.jpg,4c0fe5bde156dcf9634b3779fd1f6c08bbc34dea3f1a484c0df7407965c64d3d,4823e1fcd4e2f8f8,JPEG,RGB,1024,1024,108141,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Malus-Scab-disease-225x300.jpg,Apple Scab Leaf/00026_1be602a32fc55160.jpg,1be602a32fc5516084769176607954b93d140746304ed6a0192f1bb12521d52a,b0790ec8f999f01a,JPEG,RGB,225,300,23206,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/Scab+close-up5846.jpg,Apple Scab Leaf/00027_38517c807875e911.jpg,38517c807875e9110a8a2b8da31d0b02ca05cfd58ceb75b3ff97b73c028192e1,dbfff773f3d3f7df,JPEG,RGB,565,943,80541,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/acfsca026527.jpg,Apple Scab Leaf/00028_5539ac1c5485f841.jpg,5539ac1c5485f841147bfcb18208102145c90366f95857fbb0c6af8ade2439b5,2d3e13d933375e6c,JPEG,RGB,504,330,11052,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple%20scab%20MF821.JPG.jpg,Apple Scab Leaf/00029_a59cb20d58b23d24.jpg,a59cb20d58b23d240fb3b6341531bedb4419b0471e3955344167c13d18446362,375427076e3b6373,JPEG,RGB,2592,1944,1039099,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-disease-tree-fungus-906x391.jpg,Apple Scab Leaf/00030_a70fede1dd6a4006.jpg,a70fede1dd6a400652b8ee881d511435f0d5b5a4a0fc446cf644c9c179ee0a0b,935665606a9a9ac9,JPEG,RGB,906,391,48795,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-disease.jpg,Apple Scab Leaf/00031_670fe7c9f78d1075.jpg,670fe7c9f78d10755d655d532c4807eccad55505f9beb489d64413e50cd1b96e,99397f6e2e2c2c2c,JPEG,RGB,990,743,436656,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-leaf-big.jpg,Apple Scab Leaf/00032_4090bd9db7eb935a.jpg,4090bd9db7eb935abe7a78288a8dafe790834498777373a4b073a96685cb88f2,948495f063e0cc8c,JPEG,RGB,768,576,334871,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-obst-krankheit-m7akxy.jpg,Apple Scab Leaf/00033_52b12dd7f9ccf536.jpg,52b12dd7f9ccf5367fbdb343589114bed2a3f345f1368480cf45378121e86e49,8625b1292f31b9b8,JPEG,RGB,1200,1390,254928,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-venturia-inaequalis-early-leaf-infection-and-mycelium-AW0TTX.jpg,Apple Scab Leaf/00034_27d71dc41a8a4823.jpg,27d71dc41a8a482373b19b242942130b2b25fc6f6b2839c16940c15c26538d76,94994b63666c4bdb,JPEG,RGB,1188,1390,304561,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-venturia-inaequalis-early-leaf-infection-and-mycelium-bxbd0k.jpg,Apple Scab Leaf/00035_02306072820c86f5.jpg,02306072820c86f5f5bbd739d22a8d582794a3c54df5b698bf0fb2fe2ff73e8c,030d938196580321,JPEG,RGB,604,540,86915,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-venturia-inaequalis-early-leaf-infection-and-mycelium-bxbd23.jpg,Apple Scab Leaf/00036_8258bf7d75705b00.jpg,8258bf7d75705b00135a8901725011be38d54f06a8aa2d88203b0d73b6ac9713,6f7cdaac39f1c78b,JPEG,RGB,615,540,85539,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-venturia-inaequalis-germinated-from-a-spore-shower-on-an-apple-leaf-X31BGG.jpg,Apple Scab Leaf/00037_ecdaa5fbd2e79f02.jpg,ecdaa5fbd2e79f02989f8e7d29068f082a038f02e317f42363437d10f92f696f,40831b0b3e0c00b4,JPEG,RGB,1300,1294,210532,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-venturia-inaequalis-germinated-from-a-spore-shower-on-an-aw08hw.jpg,Apple Scab Leaf/00038_597220b696e2327c.jpg,597220b696e2327c31ef86c95805da99ffebd316b640294f10049e2b0d6dc399,813e272f1b8f00b1,JPEG,RGB,561,540,72805,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-venturia-inaequalis-leaf-symptoms-on-tree-dark-fungal-pustules-aceg6b.jpg,Apple Scab Leaf/00039_3ec1c4fcba02e910.jpg,3ec1c4fcba02e910cf21ca649d21512058329bd30a2dd76b820437102b231232,62860e5b26b3652c,JPEG,RGB,640,508,102100,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab-venturia-inaequalis-lesions-mycelium-on-leaves-a8h9nb.jpg,Apple Scab Leaf/00040_7b7f9f61a112013d.jpg,7b7f9f61a112013d660cc4ea5c74113cfbb01956842bd0dd8c35f003d2b9eef6,190dc6796456d3b1,JPEG,RGB,450,312,47095,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple-scab_figure-2.jpg,Apple Scab Leaf/00041_97944355cb3fd879.jpg,97944355cb3fd879e5fa5f553b6d3b8d6df7a4d891490358d13f2bbc53cfe29e,dfc9cbfbfa637a30,JPEG,RGB,1500,1125,579235,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple_scab.jpg,Apple Scab Leaf/00042_74015b467f489d78.jpg,74015b467f489d78473499490b0d26447c14da380123f5af46b4d241c827cbe2,a430f0e4e4f0b939,JPEG,RGB,300,360,22670,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple_scab1.jpg,Apple Scab Leaf/00043_4b17d7e6dad69d8e.jpg,4b17d7e6dad69d8e73213316d50bc96cc24b8cc7525f16394552ec8dd0171417,9bb9a42929110906,JPEG,RGB,275,193,9537,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple_scab2.jpg,Apple Scab Leaf/00044_2165fc0c988c272e.jpg,2165fc0c988c272e1e56a7b7323b9aacd92763afdd0e66b618d7755f0de9d79e,318b2f254919b1dc,JPEG,RGB,252,258,12981,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple_scab_1465_180.jpg,Apple Scab Leaf/00045_df27c006db99cea5.jpg,df27c006db99cea5c11f16f242ac3994f3017e67f81fac096c381e4c46ceaf20,3f7bdae2e62e1f90,JPEG,RGB,180,269,5007,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apple_scab_early_jc_sm.jpg,Apple Scab Leaf/00046_33e81d42b0513538.jpg,33e81d42b051353813ad434e08dba087ce3ed332f075011ae61595bfd0d1ea1d,d64fcd445e0f83d7,JPEG,RGB,378,288,128032,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apples-severely-affected-by-apple-scab-venturia-inaequalis-dgk11a.jpg,Apple Scab Leaf/00047_cff95e1ed84b0795.jpg,cff95e1ed84b079546f5de75f8b473daccaf355d7c90ebcac1ea0b6c0e2e1a0b,ac1e9c1ec6e66765,JPEG,RGB,640,446,76683,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apples_apple-scab_02_zoom.jpg,Apple Scab Leaf/00048_d400afbfd7824e8c.jpg,d400afbfd7824e8c4f53819a77e868e910e812336ad77a4539dbe7ed13529c57,6f3e6585054d0d61,JPEG,RGB,900,692,172986,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/apples_apple-scab_03_zoom.jpg,Apple Scab Leaf/00049_e6c45ecdafac3487.jpg,e6c45ecdafac34873aa4aef25fb1ed7084713c458a67ccef8bd6cfd016523575,3b4dc381b2d17313,JPEG,RGB,900,692,126472,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/applescab-500x383.jpg,Apple Scab Leaf/00050_18c11b0143ef4532.jpg,18c11b0143ef4532782a536e204c6aa6fecaf1cb64d6a46fc9b8f028b13a7a23,c393822765e1d3c1,JPEG,RGB,500,383,35254,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/applescab.jpg,Apple Scab Leaf/00051_d46084bf18335b75.jpg,d46084bf18335b75d62302ecd7aa9e42a827c9ce505b2ede5ea5427bf1835b4d,466581b1b1313536,JPEG,RGB,500,325,23556,original,NEEDS_MANUAL_REVIEW
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/applescab004.jpg,Apple Scab Leaf/00052_25e2fba8401566d1.jpg,25e2fba8401566d16905c234ac94aa77fc5f7b03a52edf4b3e1f4271a93f569f,e2a6b3e6c6cb5b6d,JPEG,RGB,1024,768,344884,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/applescab2.jpg,Apple Scab Leaf/00053_76bfd5a9b4ec094b.jpg,76bfd5a9b4ec094bd4ee0f4396e0c3b67af39a17d48e61ed4e7e3df4875de3af,374b49502231581c,JPEG,RGB,400,300,207207,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/applescab_lf.jpg,Apple Scab Leaf/00054_37332e378fa9e953.jpg,37332e378fa9e9530925b54ad4956526f04963db4446cfc0dbe6ba8927f35f2d,62ecccc8c0c66263,JPEG,RGB,269,202,15538,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/applescableaf-pcd.jpg,Apple Scab Leaf/00055_68125c161e57e097.jpg,68125c161e57e097890cfb5dfce62a4703191ee8d905816d2c6366117aadfe01,0c4c34393c372fbb,JPEG,RGB,454,306,129853,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/applescableaf.jpg,Apple Scab Leaf/00056_19ee285adf2a1a2d.jpg,19ee285adf2a1a2da14beaf81c044c15511d537a5e274ececc1a0650388eb66e,20301b8b060e1e0f,JPEG,RGB,1450,970,85126,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/applescabmalus1.jpg,Apple Scab Leaf/00057_aa36a7c6d64c2a07.jpg,aa36a7c6d64c2a0721470b93fb32578dc013cc9fe8bacba91377384b5491a857,eebeb6ecf8d8f8e4,JPEG,RGB,600,450,70901,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/appletree%20leaf.jpg,Apple Scab Leaf/00058_03b9e101d574d35a.jpg,03b9e101d574d35ab52376b88b750fbc2a6e1398672ba8c5a7f70c533eaf5bcd,76b97999bcdccf8f,JPEG,RGB,800,526,137470,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/appscab.jpg,Apple Scab Leaf/00059_268d01db1411fed3.jpg,268d01db1411fed3a7c0cfd0ab26d4ab3975aa82a53d1944c906c8ce38175a76,2c961e3e5bf3a1f0,JPEG,RGB,275,150,8396,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/branch-with-ill-leaf-of-apple-scab-disease-picture-id928917010?k=6&m=928917010&s=612x612&w=0&h=UY6EBbnGkTzVcp4Tm8myYO7KoIOtrZo3VRDrd91qslo=.jpg,Apple Scab Leaf/00060_f566ae728e3af90a.jpg,f566ae728e3af90a88fcc76ba2db8d8486c1b91cbf82a3a11928b22bf6377f23,b5fc1d1c58699952,JPEG,RGB,612,459,40266,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/crabapple%20scab%20Snowdrift%201%20Crab%206-24-16.JPG.jpg,Apple Scab Leaf/00061_3cd55f46ed452e87.jpg,3cd55f46ed452e877318eb18368ddf6332e50f9b5d4f02494ce9deac3b52a6e9,f1312f4c46c6ec43,JPEG,RGB,1600,1200,1036288,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/disease-on-fruit-scab-on-apple-tree-j1r0jp.jpg,Apple Scab Leaf/00062_c08960aee3abe99a.jpg,c08960aee3abe99a748b799365910f6bd077e0a228941c896ffe9d0531bad85f,b9c9e8beb73d8ecb,JPEG,RGB,348,540,36356,original,APPROVED_CANDIDATE
PlantDoc,5467f6012d78d1c446145d5f582da6096f852ae8,training_candidate,Apple Scab Leaf,MATCHED,Apple Apple scab,train/Apple Scab Leaf/early-symptoms-of-scab-venturia-inaequalis-on-apple-leaves-AW051N.jpg,Apple Scab Leaf/00063_d84178dbcd8743ae.jpg,d84178dbcd8743aea350d26f7f3c3b4e222d66ea894a7cae1e339864b5fb4d3f,dcebcb9b366672fc,JPEG,RGB,1300,1270,229646,original,APPROVED_CANDIDATE
