dataset,role,source_label,mapping_status,target_class,source_path,local_file,sha256,dhash,format,mode,width,height,bytes
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_24.jpg,Viral Leaf Roll/01519_462898f16bd1c7b4.jpg,462898f16bd1c7b4466136155e28d542561d0b03587349fccb9b8104220e9564,69f6f2b2cbc5ecab,JPEG,RGB,224,224,19076
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_19.jpg,Viral Leaf Roll/01520_14f5a8c630e93c10.jpg,14f5a8c630e93c10b551607c5405182206bb2584b42da8c8526fe02009dd50af,e6e7e5bfe6e7afab,JPEG,RGB,224,224,18924
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_15.jpg,Viral Leaf Roll/01522_f28327151b7e1bf3.jpg,f28327151b7e1bf33c2a8fd5cb94d1500b8353bde875fa3c3ee57246e21f2dd4,f06325133963a79b,JPEG,RGB,224,224,21588
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_27.jpg,Viral Leaf Roll/01524_3af2fef98f99e6d0.jpg,3af2fef98f99e6d0535712f3e5066ae5632349b1f5241ba19531bdd1e954fe2a,b2b93bc6b7963b13,JPEG,RGB,224,224,20290
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_23.jpg,Viral Leaf Roll/01527_330f40f0e11ebdf8.jpg,330f40f0e11ebdf8417ce6d9b3758963fb81ea3986c19c0a2917ca23435f21a3,5bedc7a52d99d34f,JPEG,RGB,224,224,18274
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_22.jpg,Viral Leaf Roll/01528_f4f40943085a407a.jpg,f4f40943085a407a603c0151bfeb19b613fe4ed10ffbb09651d4c43ddf293f8c,a3b3adec12d3d2f1,JPEG,RGB,224,224,19312
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_16.jpg,Viral Leaf Roll/01533_8625e715f0fc8824.jpg,8625e715f0fc8824aaaa78e5898db6b1844ce16b2bafa5f25bcc848d28d198bc,f5f1ea2e2b3b93d3,JPEG,RGB,224,224,17523
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_31.jpg,Viral Leaf Roll/01535_821427276ecc48db.jpg,821427276ecc48db587cabf724dc741a5fb7a0426a85a4d104fda6b11e226892,b620e4e07263f2b4,JPEG,RGB,224,224,23295
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_14.jpg,Viral Leaf Roll/01536_809d3a87c840c329.jpg,809d3a87c840c329d1f26cf15fbfdd04b25d7afb1ce5098e6e64f222139d7646,e6f5d87c7cf7a39f,JPEG,RGB,224,224,20177
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_11.jpg,Viral Leaf Roll/01537_7bed96c38d012582.jpg,7bed96c38d012582a8909410614bc28bf0b9fc8e76ad6a73c420014d40f54803,736941bdae7b7367,JPEG,RGB,224,224,16489
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_3.jpg,Viral Leaf Roll/01541_d777b68f39f1de8b.jpg,d777b68f39f1de8bb97ba585d31a217560add7722ad93ca6700997f8bd7559fa,e9ab33ce8fcfd3e1,JPEG,RGB,224,224,15862
Potato Leaf Disease Dataset,training_candidate,Healthy,MATCHED,Potato healthy,Potato Leaf Disease Dataset/Healthy/orig_0.jpg,Healthy/01542_b275bbad5e39cf87.jpg,b275bbad5e39cf87852625c87080cd71ebe7b550bc15f18dc7caac210f87e447,1b647caccccb2b37,JPEG,RGB,224,224,20836
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_10.jpg,Viral Leaf Roll/01543_b4e0a67cf51b172a.jpg,b4e0a67cf51b172a4387166811048bdce2781c547a549c15ca747c71fb4b6f3d,5076ba2a2adb5d59,JPEG,RGB,224,224,16537
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_13.jpg,Viral Leaf Roll/01544_a3c25004bd168375.jpg,a3c25004bd16837558f3ce1860683877344718dcdbd981b56b583bab60d529c8,2786b6dfafcdd6d6,JPEG,RGB,224,224,18957
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_4.jpg,Viral Leaf Roll/01547_1ecaec0a88352f1c.jpg,1ecaec0a88352f1c880297c16034a8405a8f2ee699a5e69db9353345bb02f678,ab232356cdf7e3cb,JPEG,RGB,224,224,15720
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_5.jpg,Viral Leaf Roll/01548_aec816bd860b7a7d.jpg,aec816bd860b7a7d32ea75093f6a902e9108ccfdeb6c38346a438b64a50aa1da,63fab6ee3ab3e6ea,JPEG,RGB,224,224,17976
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_6.jpg,Viral Leaf Roll/01549_51bc0e134476bb1c.jpg,51bc0e134476bb1c07a5787c75cb70f6040d8501d03889e5ff255a65a309d3eb,9596b4cc6979d9c9,JPEG,RGB,224,224,17474
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_9.jpg,Viral Leaf Roll/01551_f9959f4944b20752.jpg,f9959f4944b207524c303ce647740de6603f066c010e8d820079ca381bdf50f5,249cdc2acc999038,JPEG,RGB,224,224,15968
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_8.jpg,Viral Leaf Roll/01553_a39aed953c221094.jpg,a39aed953c2210948da3c0567ef8b2ad83b3997c61a62301f62c2bf6c63fd379,44d4cd49f97bdbdb,JPEG,RGB,224,224,20370
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_7.jpg,Viral Leaf Roll/01554_9c08412d2dfd8080.jpg,9c08412d2dfd80804d584d6a49b888e5dd646cd8452f4e36c2d6ca13374448ee,f2c291939eb9f366,JPEG,RGB,224,224,22763
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_1.jpg,Viral Leaf Roll/01557_ceab719fb7205450.jpg,ceab719fb7205450ed062327e97b508e3db3ade025410ea33440ed4dfc62dc3c,447499621b9796ef,JPEG,RGB,224,224,17855
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_2.jpg,Viral Leaf Roll/01563_c17aedd6c05bbf45.jpg,c17aedd6c05bbf45082967886d8d9b6f064874e82e14eae953bb42d37ecf0a7c,5438bc3a9a53cbc6,JPEG,RGB,224,224,17110
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_12.jpg,Viral Leaf Roll/01567_2d41c58d417c84c5.jpg,2d41c58d417c84c5eb704e4df9ad9ba94efb15d04844891ea7ad348a1dd99872,f5f3b7f72d353539,JPEG,RGB,224,224,15086
Potato Leaf Disease Dataset,training_candidate,Viral Leaf Roll,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral Leaf Roll/orig_0.jpg,Viral Leaf Roll/01574_257ca02e2a039e48.jpg,257ca02e2a039e4819bd0b95ce4c99743fa28f51973e8577c421a3c01b5e1183,b948d8ae26643c9c,JPEG,RGB,224,224,15377
Potato Leaf Disease Dataset,training_candidate,Viral PVY,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral PVY/orig_0.jpg,Viral PVY/01680_be3fc61d2b9ad6de.jpg,be3fc61d2b9ad6de4991a3215115b94d4566e8a95c1d5f095de695662d13a159,79717959580c3985,JPEG,RGB,224,224,21817
Potato Leaf Disease Dataset,training_candidate,Viral PVY,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral PVY/orig_1.jpg,Viral PVY/01690_bf3e9d54eb643550.jpg,bf3e9d54eb6435500a5ff025bf55b92eab0e2c9881abf8432978b9eb6d715726,283a382c6e26b8a6,JPEG,RGB,224,224,20799
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_7.jpg,Fungal Late Blight/01811_60d3d094223fb5a6.jpg,60d3d094223fb5a62b51006b933551f8d76055daeb0e643399ed05683741bfb3,76764d1a38913327,JPEG,RGB,224,224,15667
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_8.jpg,Fungal Late Blight/01819_9dbf5276da6f2a8d.jpg,9dbf5276da6f2a8d5912fb4d6913455ff77f8bffab74465c1d8a36bd1ccd5645,bc32ec61ac8a8aca,JPEG,RGB,224,224,16850
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_3.jpg,Fungal Late Blight/01823_5cd5af5dd0850cca.jpg,5cd5af5dd0850ccaa6bf45b3cc91389be16537dacbc83e5159a20f8fa97491a2,c939794d76f79754,JPEG,RGB,224,224,17458
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_9.jpg,Fungal Late Blight/01824_32dbb37057803f4b.jpg,32dbb37057803f4bb0ee5e7aa1c1113e7c8d66650fa7b8e17974f2c6d1ab248d,66ee960b2b6a0aa6,JPEG,RGB,224,224,17401
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_2.jpg,Fungal Late Blight/01825_b559b3b84fde037f.jpg,b559b3b84fde037fbf4ef38660c20a6cdd500dc0dfedd524439370827332dcad,1958a3898943a772,JPEG,RGB,224,224,21984
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_6.jpg,Fungal Late Blight/01830_bd756414fa066ca6.jpg,bd756414fa066ca686d6dc22b1875c7b1a12dacb898fda206c651f32db92da43,d55bd1361373e58d,JPEG,RGB,224,224,15115
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_1.jpg,Fungal Late Blight/01832_a8168d9b71fdd6eb.jpg,a8168d9b71fdd6eb54b8ec78b73fd74cb45e70a0a0aef934f6caa6c13d285940,5848a3898943a672,JPEG,RGB,224,224,22229
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_0.jpg,Fungal Late Blight/01834_587d25e5f4600bed.jpg,587d25e5f4600bed2657d77a9954868cf480029129ddc7ea9ba7dbe9171e7884,51512389cb462626,JPEG,RGB,224,224,22126
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_5.jpg,Fungal Late Blight/01836_76fdbdd01cc397b1.jpg,76fdbdd01cc397b13eb16b56b05bbd20c68913779efdac830336b71911c3e48c,93a937ab5426b3e3,JPEG,RGB,224,224,14551
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_4.jpg,Fungal Late Blight/01841_f83b8b61fc22aa31.jpg,f83b8b61fc22aa313bf6cf1414c07c65a8942855ac979652c350d144b1dbf0aa,f95d9d47d68fa9f9,JPEG,RGB,224,224,16156
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_19.jpg,Fungal Late Blight/02184_f79aebcd107acd9e.jpg,f79aebcd107acd9efc474121ea44210828c656f88724a8e60bbe35aebff9a1fa,c829a3890963b6b2,JPEG,RGB,224,224,22279
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_17.jpg,Fungal Late Blight/02198_e97adce43b12522a.jpg,e97adce43b12522a69c7e33674eb384e7bff9fbf7df5d04f58ff96c9725b0aba,6e6c70f55b4bbbef,JPEG,RGB,224,224,19840
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_18.jpg,Fungal Late Blight/02203_0121b2dac1cd4d75.jpg,0121b2dac1cd4d75bf641996248251905d1de4c32a4390786a2c446e40544377,ad70575e235f662a,JPEG,RGB,224,224,19179
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_16.jpg,Fungal Late Blight/02240_3b3156e5e928a9eb.jpg,3b3156e5e928a9ebd255bcea37b748610745df08880c5b7e36aeeeec63d8707f,d7757736977592f5,JPEG,RGB,224,224,20139
Potato Leaf Disease Dataset,training_candidate,Viral PVX,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral PVX/orig_5.jpg,Viral PVX/02241_7f9738b68b8a4cb3.jpg,7f9738b68b8a4cb377a84c5ca38ececf40b34a977ccfad1ddb2c39d345a20fa5,da4a4c5eb69ca9ec,JPEG,RGB,224,224,13243
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_15.jpg,Fungal Late Blight/02254_76ec563efff07711.jpg,76ec563efff077117ef734199cdc9f7b8b0fa2b5711e09bb6228f46798eca010,c97fb1a3094eabc9,JPEG,RGB,224,224,20674
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_14.jpg,Fungal Late Blight/02262_f80a42b7949aba62.jpg,f80a42b7949aba62fad2b6055b22695d79b449441adf896a4d5fe67d01c38a8b,22ea8a4a88969564,JPEG,RGB,224,224,20858
Potato Leaf Disease Dataset,training_candidate,Viral PVX,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral PVX/orig_4.jpg,Viral PVX/02273_79976e5b992dc672.jpg,79976e5b992dc672b96e5e5e02178cae19968eefb5526b436cc3d521947b0ff0,e5a5ad9d97d75339,JPEG,RGB,224,224,19211
Potato Leaf Disease Dataset,training_candidate,Viral PVX,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral PVX/orig_3.jpg,Viral PVX/02278_88c739173ba5e274.jpg,88c739173ba5e274ac0b809ada0febcefa15f8e60af55c23931ab00e1146ad5b,f5e5ad9d9fd7d339,JPEG,RGB,224,224,19495
Potato Leaf Disease Dataset,training_candidate,Fungal Late Blight,MATCHED,Potato Late blight,Potato Leaf Disease Dataset/Fungal Late Blight/orig_13.jpg,Fungal Late Blight/02290_ccaebf276d8007ac.jpg,ccaebf276d8007ac9c4af0205108c41cb833f85089a0c30b724024835550407f,66d49595943dbf4d,JPEG,RGB,224,224,20963
Potato Leaf Disease Dataset,training_candidate,Viral PVX,NOT_SUPPORTED,,Potato Leaf Disease Dataset/Viral PVX/orig_2.jpg,Viral PVX/02301_9f53653414e9eda8.jpg,9f53653414e9eda8c1f7a768730d8b69aa6e0aebc95682b7f0880ae8e10d328b,36341eaddede5bdb,JPEG,RGB,224,224,20447
